# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#  aims_uuid : 1CCE88FD-D296-4DFF-AE0E-CA193C301DB0                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -10.00000000         28.91763766         28.91818777
         -9.99500000         86.78005650         86.80398162
         -9.99000000          0.00000000          0.00000000
         -9.98500000         41.16815617         41.16589455
         -9.98000000         22.27381522         22.27171134
         -9.97500000         12.09471721         12.09458754
         -9.97000000         10.84424424         10.84410734
         -9.96500000          9.59377126          9.59362714
         -9.96000000          8.34329829          8.34314695
         -9.95500000          7.09282531          7.09266675
         -9.95000000          5.84235234          5.84218655
         -9.94500000          4.70010509          4.70008962
         -9.94000000          6.79515694          6.79515904
         -9.93500000          6.95015676          6.95018579
         -9.93000000          7.16663972          7.16666870
         -9.92500000          9.21800447          9.21804757
         -9.92000000          9.57158559          9.57162880
         -9.91500000          9.92516672          9.92521002
         -9.91000000         10.27874784         10.27879124
         -9.90500000         10.63232897         10.63237247
         -9.90000000         10.98591009         10.98595369
         -9.89500000         11.33949122         11.33953491
         -9.89000000         11.69307234         11.69311614
         -9.88500000         12.04665346         12.04669736
         -9.88000000         12.40023459         12.40027858
         -9.87500000         12.75381571         12.75385981
         -9.87000000         13.10739684         13.10744103
         -9.86500000         13.46097796         13.46102225
         -9.86000000         13.81455908         13.81460348
         -9.85500000         14.16814021         14.16818470
         -9.85000000         14.52172133         14.52176592
         -9.84500000         14.87530246         14.87534715
         -9.84000000         15.22888358         15.22892837
         -9.83500000         15.58246470         15.58250959
         -9.83000000         15.93604583         15.93609082
         -9.82500000         16.28962695         16.28967204
         -9.82000000         16.64320808         16.64325326
         -9.81500000         16.99678920         16.99683449
         -9.81000000         17.35037033         17.35041571
         -9.80500000         17.70395145         17.70399693
         -9.80000000         18.05753257         18.05757816
         -9.79500000         18.41111370         18.41115938
         -9.79000000         13.11356789         13.11346991
         -9.78500000         12.31237797         12.31228298
         -9.78000000         11.61175146         11.61167604
         -9.77500000         10.95603634         10.95596395
         -9.77000000         10.30032122         10.30025186
         -9.76500000          5.56345016          5.56340824
         -9.76000000          5.23485183          5.23481045
         -9.75500000          4.90625351          4.90621266
         -9.75000000          4.57765518          4.57761487
         -9.74500000          4.24905686          4.24901707
         -9.74000000         25.89246026         25.89241710
         -9.73500000         25.20859580         25.20855152
         -9.73000000         24.52473134         24.52468594
         -9.72500000         44.75255253         44.75119882
         -9.72000000         31.07963806         31.07825839
         -9.71500000         17.40672359         17.40531796
         -9.71000000          3.99140158          3.99000828
         -9.70500000          0.00000000          0.00000000
         -9.70000000          0.03228550          0.03233847
         -9.69500000          0.57119706          0.57125062
         -9.69000000          1.11010862          1.11016277
         -9.68500000          1.75595179          1.75603473
         -9.68000000          2.53122491          2.53130834
         -9.67500000          3.34169445          3.34179829
         -9.67000000          4.29907840          4.29918279
         -9.66500000          5.25646236          5.25656729
         -9.66000000          6.21384631          6.21395178
         -9.65500000          7.17123027          7.17133628
         -9.65000000          8.18221178          8.18234007
         -9.64500000          9.32304037          9.32316914
         -9.64000000         10.46386896         10.46399820
         -9.63500000         11.60469755         11.60482726
         -9.63000000         12.74552614         12.74565632
         -9.62500000         13.88635474         13.88648538
         -9.62000000         15.02718333         15.02731444
         -9.61500000         16.16801192         16.16814350
         -9.61000000         17.30884051         17.30897256
         -9.60500000         18.44966910         18.44980162
         -9.60000000         18.94919778         18.95225483
         -9.59500000         47.63517605         47.63911122
         -9.59000000         17.71168231         17.71161436
         -9.58500000         17.40070945         17.40064702
         -9.58000000         17.08973658         17.08967968
         -9.57500000         16.77876372         16.77871234
         -9.57000000         16.46779086         16.46774500
         -9.56500000         41.15254320         41.18632257
         -9.56000000         36.73611630         36.73538124
         -9.55500000         29.11311181         29.11238105
         -9.55000000         21.49010732         21.48938086
         -9.54500000         28.42061436         28.43113164
         -9.54000000         21.94558973         21.94546038
         -9.53500000         20.51340893         20.51327283
         -9.53000000         19.08122813         19.08108527
         -9.52500000         17.64904733         17.64889771
         -9.52000000         16.21686654         16.21671015
         -9.51500000         14.78468574         14.78452260
         -9.51000000         11.62971258         11.62967086
         -9.50500000         11.20572989         11.20568608
         -9.50000000         10.78174721         10.78170130
         -9.49500000         10.35776452         10.35771652
         -9.49000000         32.87800825         32.87734860
         -9.48500000         26.60366681         26.60301296
         -9.48000000         20.32932537         20.32867733
         -9.47500000         39.46344732         39.46193869
         -9.47000000         96.54448094         96.53633030
         -9.46500000         29.08064808         29.07635041
         -9.46000000         33.18901571         33.18941270
         -9.45500000         32.95892316         32.95886050
         -9.45000000         32.12424767         32.12418006
         -9.44500000         31.28957219         31.28949962
         -9.44000000         30.45489670         30.45481917
         -9.43500000         29.62022121         29.62013873
         -9.43000000         28.78554573         28.78545829
