#x   y   Raman_zz
              -3.00003000               -4.69660400               0.01295527
              -3.00003000               -2.69660400               0.00116188
              -3.00003000               -0.69660400               0.00746475
              -3.00003000                1.30339600               0.01033565
              -1.00003000               -4.69660400               0.01694706
              -1.00003000               -2.69660400               0.00019106
              -1.00003000               -0.69660400               0.00325049
              -1.00003000                1.30339600               0.00615620
               0.99997000               -4.69660400               0.01230080
               0.99997000               -2.69660400               0.00029208
               0.99997000               -0.69660400               0.00106464
               0.99997000                1.30339600               0.00388022
               2.99997000               -4.69660400               0.01993966
               2.99997000               -2.69660400               0.00045585
               2.99997000               -0.69660400               0.00464805
               2.99997000                1.30339600               0.00903456
