      Energy               down 
      -19.68650000        1.17857055
      -19.68375000        1.21543242
      -19.68100000        1.25229037
      -19.67825000        1.28914438
      -19.67550000        1.94198037
      -19.67275000        2.79552929
      -19.67000000        2.14370678
      -19.66725000        2.19207428
      -19.66450000        2.30517434
      -19.66175000        2.42978716
      -19.65900000        2.60451958
      -19.65625000        3.24506412
      -19.65350000        3.88741638
      -19.65075000        4.53157636
      -19.64800000        4.63984525
      -19.64525000        4.97957294
      -19.64250000        5.29447503
      -19.63975000        4.58902309
      -19.63700000        3.43709936
      -19.63425000        2.86955144
      -19.63150000        2.89509690
      -19.62875000        2.21828925
      -19.62600000        1.65401828
      -19.62325000        0.71665525
      -19.62050000        0.27786249
      -19.61775000        0.16772400
      -19.61500000        0.05740504
      -19.61225000        0.00000000
      -19.60950000        0.01959890
      -19.60675000        0.04146172
      -19.60400000        0.06319992
      -19.60125000        0.08481351
      -19.59850000        0.10630248
      -19.59575000        0.12766684
      -19.59300000        0.14890659
      -19.59025000        0.17002172
      -19.58750000        0.19101224
      -19.58475000        0.21187814
      -19.58200000        0.26095453
      -19.57925000        0.35407987
      -19.57650000        0.48545878
      -19.57375000        0.66821279
      -19.57100000        0.85071690
      -19.56825000        1.05721249
      -19.56550000        1.27891690
      -19.56275000        1.50028527
      -19.56000000        1.72131761
      -19.55725000        1.94201392
      -19.55450000        2.16237419
      -19.55175000        2.38239842
      -19.54900000        3.06832915
      -19.54625000        3.66330978
      -19.54350000        4.00290698
      -19.54075000        3.79978061
      -19.53800000        3.51335345
      -19.53525000        3.47467697
      -19.53250000        3.87736880
      -19.52975000        3.71696209
      -19.52700000        3.37484721
      -19.52425000        3.03297988
      -19.52150000        2.69136010
      -19.51875000        3.46122141
      -19.51600000        1.78674677
      -19.51325000        1.52824810
      -19.51050000        1.68320807
      -19.50775000        3.18117344
      -19.50500000        3.98251422
      -19.50225000        2.06022556
      -19.49950000        1.72106479
      -19.49675000        1.41581355
      -19.49400000        1.15017792
      -19.49125000        0.90288067
      -19.48850000        0.90827437
      -19.48575000        0.91366596
      -19.48300000        0.91905544
      -19.48025000        0.92444281
      -19.47750000        0.94311085
      -19.47475000        0.96352234
      -19.47200000        0.98415712
      -19.46925000        1.02057704
      -19.46650000        1.05701738
      -19.46375000        1.09347815
      -19.46100000        1.13231173
      -19.45825000        1.17404368
      -19.45550000        1.21578948
      -19.45275000        3.55439561
      -19.45000000        1.81053763
      -19.44725000        3.21924775
      -19.44450000        2.35165786
      -19.44175000        2.26206711
      -19.43900000        2.17261169
      -19.43625000        2.08329161
      -19.43350000        1.99410687
      -19.43075000        1.90505747
      -19.42800000        1.81614340
      -19.42525000        1.72736467
      -19.42250000        1.63872128
