          Energy                up                   down
        -10.00000000         73.68603253         73.68685720
         -9.99700000         70.77327649         70.77410357
         -9.99400000        138.66863570        138.67704445
         -9.99100000        110.61296771        110.62125310
         -9.98800000         94.37486359         94.37651902
         -9.98500000        124.26415897        124.27099429
         -9.98200000        119.58150765        119.58807453
         -9.97900000        107.86804057        107.87037605
         -9.97600000         99.79414771         99.79649423
         -9.97300000         91.72025485         91.72261241
         -9.97000000         60.30206662         60.30236100
         -9.96700000         59.15179188         59.15210668
         -9.96400000         58.00151714         58.00185236
         -9.96100000         56.85124240         56.85159805
         -9.95800000         56.03689450         56.03700265
         -9.95500000         55.68189939         55.68202257
         -9.95200000         55.32690429         55.32704250
         -9.94900000         62.24768600         62.24806563
         -9.94600000        175.28635092        175.28907125
         -9.94300000        211.66018771        211.66251216
         -9.94000000        203.18543971        203.18733240
         -9.93700000        212.90818351        212.94221021
         -9.93400000        135.66014326        135.66625546
         -9.93100000        107.75096219        107.76666418
         -9.92800000        147.64368737        147.64940969
         -9.92500000        117.42469335        117.37606155
         -9.92200000         25.82390490         25.81085438
         -9.91900000         71.69330800         71.67884544
         -9.91600000        120.73297975        120.71811045
         -9.91300000        194.50852822        194.56495250
         -9.91000000         54.80265101         54.79828801
         -9.90700000         66.22843718         66.22408246
         -9.90400000         81.58603867         81.58131578
         -9.90100000         92.81936916         92.81291234
         -9.89800000        113.77077840        113.76429650
         -9.89500000        134.72218765        134.71568066
         -9.89200000        201.09211480        201.02253544
         -9.88900000        119.20624756        119.20360340
         -9.88600000        155.53995446        155.53143031
         -9.88300000        182.81309480        182.80465128
         -9.88000000        153.54306468        153.54265592
         -9.87700000        160.45202050        160.45108617
         -9.87400000        136.76475893        136.76338853
         -9.87100000        106.32762540        106.32388792
         -9.86800000        144.35137220        144.33510067
         -9.86500000         90.77407803         90.77080717
         -9.86200000        101.29975347        101.29645437
         -9.85900000        122.26259070        122.25776094
         -9.85600000        146.82214641        146.81511789
         -9.85300000        134.50154906        134.49519538
         -9.85000000        215.10951877        214.92910288
         -9.84700000        158.71315095        158.70721379
         -9.84400000        177.61230623        177.60649552
         -9.84100000        160.23927657        160.23417646
         -9.83800000        197.66988757        197.66127060
         -9.83500000        196.83159235        196.82018650
         -9.83200000        170.94814141        170.93692954
         -9.82900000        151.45433460        151.44665936
         -9.82600000        176.79422905        176.78654230
         -9.82300000        130.34840692        130.34291764
         -9.82000000        235.39681814        235.32746824
         -9.81700000        107.03094392        107.03148504
         -9.81400000        105.07189600        105.07245276
         -9.81100000        136.20658437        136.20505859
         -9.80800000        160.25965732        160.25333944
         -9.80500000        206.60323548        206.59518638
         -9.80200000        204.01151464        204.00744095
         -9.79900000        208.07735866        208.07635494
         -9.79600000        187.67237280        187.67153955
         -9.79300000        152.28890388        152.28830139
         -9.79000000        154.79810324        154.79752239
         -9.78700000        196.27608993        196.27486916
         -9.78400000        225.48787019        225.48512708
         -9.78100000        235.66248673        235.66010559
         -9.77800000        213.31276980        213.31741542
         -9.77500000        198.50764699        198.51232042
         -9.77200000        183.70252419        183.70722541
         -9.76900000        219.38263003        219.32973015
         -9.76600000         70.57002727         70.57094279
         -9.76300000         72.08808976         72.08783304
         -9.76000000        102.06232019        102.07048439
         -9.75700000         72.94555315         72.95414045
         -9.75400000        295.38113739        295.21277794
         -9.75100000         75.95073248         75.95294427
         -9.74800000         67.46559305         67.46792748
         -9.74500000         58.98045361         58.98291068
         -9.74200000        129.97947765        129.99431673
         -9.73900000         78.03308668         78.04840686
         -9.73600000        125.07823284        125.07834077
         -9.73300000        146.87156402        146.85900359
         -9.73000000         15.63098690         15.63056339
         -9.72700000         17.13753543         17.13711345
         -9.72400000        291.19236891        291.28783282
         -9.72100000        259.36837645        259.24878904
         -9.71800000        323.97041859        324.03828332
         -9.71500000         80.02857219         80.02398796
         -9.71200000         95.07827031         95.07361776
         -9.70900000        377.63042571        377.40365680
         -9.70600000        102.63492415        102.64760676
         -9.70300000        103.31596917        103.32245666
         -9.70000000         82.11553395         82.12153668
         -9.69700000         90.16216224         90.16233992
         -9.69400000         88.26533352         88.26643471
         -9.69100000          8.89935760          8.89952731
         -9.68800000          8.30264134          8.30281112
         -9.68500000          7.70592508          7.70609493
         -9.68200000          7.10920882          7.10937874
         -9.67900000        163.07094395        163.02790303
         -9.67600000         83.69032250         83.70766030
         -9.67300000         25.83437444         25.85112451
         -9.67000000         93.21798665         93.11304796
         -9.66700000        135.25780202        135.26696173
         -9.66400000        107.08408843        107.09315610
         -9.66100000         78.91037483         78.91935047
         -9.65800000        117.37358216        117.37716457
         -9.65500000         84.99641748         85.00756821
         -9.65200000         97.34848124         97.35323774
         -9.64900000         80.32952270         80.33457774
         -9.64600000         65.11491644         65.11644521
         -9.64300000         60.16562870         60.16715106
         -9.64000000         65.12207853         65.11468480
         -9.63700000         88.53104236         88.52378086
         -9.63400000        114.82869528        114.82023328
         -9.63100000         85.29231986         85.29296004
         -9.62800000         83.51354771         83.51412428
         -9.62500000         79.28277488         79.28279209
