          Energy                up                   down
         -9.62200000         79.60504175         79.60504748
         -9.61900000         57.91690349         57.91680429
         -9.61600000         58.12907284         58.12895320
         -9.61300000         58.34124220         58.34110211
         -9.61000000        116.02475666        116.04186107
         -9.60700000         59.80991595         59.82744133
         -9.60400000         72.68603549         72.68521017
         -9.60100000         76.93064135         76.92973910
         -9.59800000         81.28748969         81.28670172
         -9.59500000         80.58176621         80.58306567
         -9.59200000        117.06165454        117.06020687
         -9.58900000         54.77758531         54.77650836
         -9.58600000         49.27277369         49.27633323
         -9.58300000         39.73701743         39.73940478
         -9.58000000         32.00190749         32.00423716
         -9.57700000         26.35868727         26.35943135
         -9.57400000        123.96396390        123.98587247
         -9.57100000         59.97367415         59.97235816
         -9.56800000         64.24935008         64.24816515
         -9.56500000         68.75335228         68.75217677
         -9.56200000         58.96201691         58.96031696
         -9.55900000         71.03338204         71.03547536
         -9.55600000         64.22078559         64.22282716
         -9.55300000         57.40818915         57.41017896
         -9.55000000         50.59559270         50.59753075
         -9.54700000         32.61796926         32.61899539
         -9.54400000         29.09362484         29.09462978
         -9.54100000         25.56928042         25.57026417
         -9.53800000         22.04493600         22.04589856
         -9.53500000          4.09396881          4.09385999
         -9.53200000          4.48053306          4.48042552
         -9.52900000         26.68047122         26.67342265
         -9.52600000         51.06990879         51.06260511
         -9.52300000         26.36883787         26.36897626
         -9.52000000         25.96359582         25.96373633
         -9.51700000         25.55835376         25.55849640
         -9.51400000         25.15311170         25.15325647
         -9.51100000         29.25288144         29.24733663
         -9.50800000         48.35040880         48.34502952
         -9.50500000         67.77476683         67.76967577
         -9.50200000         37.56661648         37.56676226
         -9.49900000         37.27663631         37.27678273
         -9.49600000         36.98665614         36.98680319
         -9.49300000         18.48384491         18.48379243
         -9.49000000         47.71548316         47.71615180
         -9.48700000         44.33588087         44.33670142
         -9.48400000         40.95627858         40.95725104
         -9.48100000         37.57667630         37.57780065
         -9.47800000         37.01288352         37.01312641
         -9.47500000         36.45163494         36.45186924
         -9.47200000         35.89038637         35.89061208
         -9.46900000         35.32913780         35.32935492
         -9.46600000         65.34944257         65.34924752
         -9.46300000         65.89357586         65.89335466
         -9.46000000         66.43770915         66.43746180
         -9.45700000         66.98184244         66.98156894
         -9.45400000         56.06134123         56.06244332
         -9.45100000         51.32398592         51.32512873
         -9.44800000         66.82929071         66.82814522
         -9.44500000         60.06729551         60.06605469
         -9.44200000         65.01446843         65.01334179
         -9.43900000         51.89303940         51.89085861
         -9.43600000         61.02035993         61.01824554
         -9.43300000         37.04208249         37.04320635
         -9.43000000         32.75510481         32.75616732
         -9.42700000         28.46812712         28.46912829
         -9.42400000         24.18114944         24.18208926
         -9.42100000         20.08928819         20.08964568
         -9.41800000         21.81598753         21.81533769
         -9.41500000         23.93989054         23.93922712
         -9.41200000         31.18006459         31.17915225
         -9.40900000         34.12062662         34.11970208
         -9.40600000         37.06118865         37.06025191
         -9.40300000         58.15176307         58.15682199
         -9.40000000         42.92305158         42.92778101
         -9.39700000         27.69434008         27.69874003
         -9.39400000         17.28296362         17.28495078
         -9.39100000         10.83288416         10.83265855
         -9.38800000         11.64954318         11.64931896
         -9.38500000         12.46620220         12.46597937
         -9.38200000         13.28286121         13.28263978
         -9.37900000         14.09952023         14.09930018
         -9.37600000         23.74854913         23.74776171
         -9.37300000         26.49884731         26.49807185
         -9.37000000         29.24914550         29.24838198
         -9.36700000         31.99944369         31.99869212
         -9.36400000         30.58439497         30.58416306
         -9.36100000         31.47425310         31.47403131
         -9.35800000         32.36411123         32.36389956
         -9.35500000         33.25396936         33.25376781
         -9.35200000         49.16839708         49.16695438
         -9.34900000        379.10001073        380.16181047
         -9.34600000         75.15726046         75.15530896
         -9.34300000         72.57881049         72.57834434
         -9.34000000         74.25456690         74.25405534
         -9.33700000         93.99769784         93.99687919
         -9.33400000         96.45818639         96.45732198
         -9.33100000         83.40175938         83.40610521
         -9.32800000         91.86451935         91.86771534
         -9.32500000         80.03633176         80.03954390
         -9.32200000         81.59296159         81.59234295
         -9.31900000         78.59273072         78.59498348
         -9.31600000        100.34768161        100.35195354
         -9.31300000         81.63548987         81.63741669
         -9.31000000         74.43691111         74.43908207
         -9.30700000         66.70121682         66.70262478
         -9.30400000         61.55360039         61.55501452
         -9.30100000         56.40598396         56.40740425
         -9.29800000         70.83665499         70.83825271
         -9.29500000         69.07634034         69.07441093
         -9.29200000         80.79388575         80.79044532
         -9.28900000         94.74298759         94.73834011
         -9.28600000        111.70066648        111.69591219
         -9.28300000        179.70027773        182.77481639
         -9.28000000        106.60862537        106.60690663
         -9.27700000        112.91047834        112.90871172
         -9.27400000         95.77493683         95.77446265
         -9.27100000        107.76668251        107.76111573
         -9.26800000        110.60057388        110.59572647
         -9.26500000        128.45922392        128.45374857
         -9.26200000         92.30924941         92.30589485
         -9.25900000         92.31315064         92.30937889
         -9.25600000        107.97800315        107.97411212
         -9.25300000        116.16234640        116.15444313
         -9.25000000         89.30520714         89.30220381
         -9.24700000        100.27215363        100.26905471
         -9.24400000        111.34092924        111.33781866
         -9.24100000         77.36404106         77.36510120
         -9.23800000         67.87270444         67.87353181
         -9.23500000         64.64142500         64.64226529
         -9.23200000         56.93029790         56.93107379
         -9.22900000        113.87793857        113.88150239
         -9.22600000         99.41355459         99.41741191
         -9.22300000        109.95753877        109.96003020
         -9.22000000        100.96596026        100.96844740
         -9.21700000         92.79925144         92.79804473
         -9.21400000        123.98234399        123.97365329
         -9.21100000        152.48587388        152.47756087
         -9.20800000         84.98575467         84.98777659
         -9.20500000        150.40573573        150.41035381
         -9.20200000        134.16384873        134.16839511
         -9.19900000        117.66203794        117.66678286
         -9.19600000        247.69995940        247.56903375
         -9.19300000        146.95325030        146.96544837
         -9.19000000        144.23565071        144.23468878
         -9.18700000        167.25405570        167.24691856
         -9.18400000        284.18930023        284.28482512
         -9.18100000        169.29470282        169.30642956
         -9.17800000        217.23272319        217.23858920
         -9.17500000        197.17011036        197.17561287
         -9.17200000        146.88424807        146.90270621
         -9.16900000        239.00441697        238.85613835
         -9.16600000        138.58390397        138.56575366
         -9.16300000        169.12652439        169.11232658
         -9.16000000        147.17168476        147.16027139
         -9.15700000        167.68518579        167.67792359
         -9.15400000        193.68475564        193.68147891
         -9.15100000        219.01604865        219.01113319
         -9.14800000        193.93707383        193.93183118
         -9.14500000        232.86858416        232.86037896
         -9.14200000        275.95242936        275.54093374
         -9.13900000        190.68019114        190.67295950
         -9.13600000        560.48779723        562.03764232
         -9.13300000        949.30719427        950.16046248
         -9.13000000        180.52328525        180.51717639
         -9.12700000        250.12817960        250.09261231
         -9.12400000        237.76948012        237.75425066
         -9.12100000        214.98286394        214.97835887
         -9.11800000        164.65195980        164.64969221
         -9.11500000        189.96803453        189.96390445
         -9.11200000        198.42746174        198.42507593
         -9.10900000        179.95962357        179.95662155
         -9.10600000        177.67142958        177.66124568
         -9.10300000        136.34502296        136.33162041
         -9.10000000         72.80992548         72.80782465
         -9.09700000        274.56053867        274.61361795
         -9.09400000        110.50651637        110.56773293
         -9.09100000        384.72176763        383.96134764
         -9.08800000        185.93453578        185.94376856
         -9.08500000        139.59885438        140.04902843
         -9.08200000        206.27706705        206.27852502
         -9.07900000        208.19927067        208.22427042
         -9.07600000        111.74542921        111.74753422
         -9.07300000        101.38445944        101.38668624
         -9.07000000         94.91226724         94.90584972
         -9.06700000        163.96121110        163.94027874
         -9.06400000        136.98808648        136.98145115
         -9.06100000         72.90886581         72.91005222
         -9.05800000        402.89733148        397.06211076
         -9.05500000         54.69362159         54.69206743
         -9.05200000         59.26384473         59.26225281
         -9.04900000         63.83406787         63.83243819
         -9.04600000         68.40429101         68.40262358
         -9.04300000         65.51439397         65.51037947
         -9.04000000         99.55971719         99.55911539
         -9.03700000        104.31989839        104.31866931
         -9.03400000         77.94851003         77.98757025
         -9.03100000         73.04541516         73.05080793
         -9.02800000         60.61611267         60.61878302
         -9.02500000         50.82499111         50.82755047
         -9.02200000         41.03386955         41.03631792
         -9.01900000         31.24274799         31.24508537
         -9.01600000        254.18563921        254.11800348
         -9.01300000        352.99939233        340.82803463
         -9.01000000        138.84496705        139.01654480
         -9.00700000          0.00000000          0.00000000
         -9.00400000         26.00947153         25.99864595
         -9.00100000         67.43058782         67.41916113
         -8.99800000        195.87777578        195.83939243
         -8.99500000         68.58206043         68.56980450
         -8.99200000         60.76998291         60.82206295
         -8.98900000         37.98357795         37.98154332
         -8.98600000         45.53204928         45.53001456
         -8.98300000         53.08052061         53.07848581
         -8.98000000         60.62899195         60.62695706
         -8.97700000         68.17746328         68.17542830
         -8.97400000         75.72593461         75.72389955
         -8.97100000         39.05630917         39.05509179
         -8.96800000         43.44990878         43.44872396
         -8.96500000         47.84350840         47.84235614
         -8.96200000         47.60390306         47.60379577
         -8.95900000         47.81958547         47.81948604
         -8.95600000         48.03526788         48.03517632
         -8.95300000         52.22171571         52.21992301
         -8.95000000         59.27800977         59.27631418
         -8.94700000         66.33430383         66.33270535
         -8.94400000         59.40974811         59.40808164
         -8.94100000         65.72005067         65.71914224
         -8.93800000         66.60100724         66.60105099
         -8.93500000         68.26830874         68.26494726
         -8.93200000        144.05936561        144.00662857
         -8.92900000         82.61610483         82.61447817
         -8.92600000         89.22473885         89.22311740
         -8.92300000         87.46543690         87.46333992
         -8.92000000         96.04455595         96.04245133
         -8.91700000         93.09323391         93.11013478
         -8.91400000         92.73419545         92.73254488
         -8.91100000         87.26853915         87.26654106
         -8.90800000         84.59211895         84.59051423
         -8.90500000         89.58888210         89.58766640
         -8.90200000         89.75490207         89.75487948
         -8.89900000         90.26735189         90.26690313
         -8.89600000         91.00723256         91.00668608
         -8.89300000         91.88362005         91.88306357
         -8.89000000         93.39514813         93.39415180
         -8.88700000         89.39660258         89.39535973
         -8.88400000         86.08076850         86.07924430
         -8.88100000         74.70745999         74.70630618
         -8.87800000        168.76371865        166.98488966
         -8.87500000         70.12007718         70.11952305
         -8.87200000         72.09016962         72.08960844
         -8.86900000         74.06026206         74.05969384
         -8.86600000         53.86886058         53.86841131
         -8.86300000        104.55848587        104.56003818
         -8.86000000         98.93379243         98.93533635
         -8.85700000         94.36487795         94.36654172
         -8.85400000         69.39307727         69.39452475
         -8.85100000         64.34368208         64.34513199
         -8.84800000         59.29428689         59.29573923
         -8.84500000         36.43479724         36.43443129
         -8.84200000         38.09262392         38.09226347
         -8.83900000         39.75045059         39.75009565
         -8.83600000         41.79291256         41.79209622
         -8.83300000         44.09757782         44.09721150
         -8.83000000         45.73873197         45.73836965
         -8.82700000         46.71686278         46.71649000
         -8.82400000         52.20192374         52.23555950
         -8.82100000         30.73858925         30.73836676
         -8.81800000         31.66683904         31.66661524
         -8.81500000         43.17078456         43.17116519
         -8.81200000         41.56161921         41.56199945
         -8.80900000         40.76346048         40.76357394
         -8.80600000         43.25427191         43.25440858
         -8.80300000         42.61227224         42.61240394
         -8.80000000         41.97027257         41.97039929
         -8.79700000         41.32827289         41.32839465
         -8.79400000         40.68627322         40.68639001
         -8.79100000         40.04427355         40.04438536
         -8.78800000         39.70429645         39.70380832
         -8.78500000         41.49238282         41.49188925
         -8.78200000         76.38832265         76.39203042
         -8.77900000         62.66229792         62.66584049
         -8.77600000         53.01171014         53.01570238
         -8.77300000         57.42721107         57.42872330
         -8.77000000         43.69150417         43.69191110
         -8.76700000         42.80742683         42.80780962
         -8.76400000         41.92334949         41.92370813
         -8.76100000         41.03927216         41.03960665
         -8.75800000         53.66086337         53.66208479
         -8.75500000         48.60883508         48.61003770
         -8.75200000         51.96688333         51.96826953
         -8.74900000         45.97938501         45.98077816
         -8.74600000         49.07689362         49.07864829
         -8.74300000         41.66044283         41.66220513
         -8.74000000         61.51900852         61.52125818
         -8.73700000         55.60147015         55.60279311
         -8.73400000         50.66894165         50.67026035
         -8.73100000         45.73641315         45.73772760
         -8.72800000         40.80388465         40.80519484
         -8.72500000         35.87135615         35.87266209
         -8.72200000         30.93882765         30.94012934
         -8.71900000         26.00629914         26.00759658
         -8.71600000         21.07377064         21.07506383
         -8.71300000         26.13121648         26.13304140
         -8.71000000         21.05035876         21.05135824
         -8.70700000         18.26525914         18.26585839
         -8.70400000         15.84062953         15.84122689
         -8.70100000         35.66347213         35.65402733
         -8.69800000         73.76899534         73.75875412
         -8.69500000         43.21470418         43.21628441
         -8.69200000         37.45626026         37.45780329
         -8.68900000         31.69781635         31.69932217
         -8.68600000         25.93937243         25.94084105
         -8.68300000         21.31270628         21.31355354
         -8.68000000         71.12988540         71.13668281
         -8.67700000         48.20534689         48.21140288
         -8.67400000         40.48942858         40.49073280
         -8.67100000         35.10879509         35.11005845
         -8.66800000         29.72816159         29.72938410
         -8.66500000         26.04668706         26.04729714
         -8.66200000         23.76213285         23.76273701
         -8.65900000         32.27804193         32.27625872
         -8.65600000         38.77128853         38.76950391
         -8.65300000         45.26453513         45.26274911
         -8.65000000         51.75778172         51.75599431
         -8.64700000         58.25102832         58.24923951
         -8.64400000         40.77787157         40.77928932
         -8.64100000         35.53111934         35.53252021
         -8.63800000         30.28436710         30.28575110
         -8.63500000         30.15343935         30.15428302
         -8.63200000         27.39210788         27.39252677
         -8.62900000         30.98876370         30.98857417
         -8.62600000         32.38567520         32.38536717
         -8.62300000         34.00152203         34.00107119
         -8.62000000         35.88827908         35.88777000
         -8.61700000         37.77503614         37.77446882
         -8.61400000         51.14176626         51.13677965
         -8.61100000         70.78100237         70.77551174
         -8.60800000         91.97191831         91.96546016
         -8.60500000         88.91694963         88.92964155
         -8.60200000         46.90746382         46.91962044
         -8.59900000         28.29917852         28.29869430
         -8.59600000         29.95002288         29.94955717
         -8.59300000         31.60086724         31.60042004
         -8.59000000         33.64100316         33.64014976
         -8.58700000         37.83667583         37.83517416
         -8.58400000         43.55570609         43.55426834
         -8.58100000         49.27473636         49.27336252
         -8.57800000         54.99376662         54.99245670
         -8.57500000         60.71279688         60.71155088
         -8.57200000        181.58432307        182.21888032
         -8.56900000        105.51828016        105.51161843
         -8.56600000        108.37348270        108.36854672
         -8.56300000         66.52293682         66.52369341
         -8.56000000         63.93682371         63.93764563
         -8.55700000         86.55022801         86.55210271
         -8.55400000         76.31857407         76.32071109
         -8.55100000         66.08692014         66.08931947
         -8.54800000         68.38970019         68.39175833
         -8.54500000         60.15102066         60.15314291
         -8.54200000         52.35165923         52.35368087
         -8.53900000         45.82207911         45.82190126
         -8.53600000         64.24458505         64.24509251
         -8.53300000         65.47908257         65.47869850
         -8.53000000         68.49072429         68.49027552
         -8.52700000         64.95648429         64.95684689
         -8.52400000         62.37035651         62.37066594
         -8.52100000         59.78422872         59.78448499
         -8.51800000         57.19810094         57.19830404
         -8.51500000         64.52199108         64.56142557
         -8.51200000          6.22579659          6.22562156
         -8.50900000          6.93806046          6.93788229
         -8.50600000          7.65032433          7.65014302
         -8.50300000          8.36258820          8.36240375
         -8.50000000          9.07485207          9.07466448
         -8.49700000         49.69054135         49.68937896
         -8.49400000         50.61473953         50.61386799
         -8.49100000         51.53893771         51.53835703
         -8.48800000         64.04165431         64.05392816
         -8.48500000         21.81516829         21.82671002
         -8.48200000          9.12896592          9.12812274
         -8.47900000         12.71180461         12.71093850
         -8.47600000         89.75013037         88.73121546
         -8.47300000        184.04451124        184.03113395
         -8.47000000         23.83067555         23.82251116
         -8.46700000         58.65027408         58.64094479
         -8.46400000         42.63312452         42.63215380
         -8.46100000         46.94562185         46.94462461
         -8.45800000         56.00391671         56.00141324
         -8.45500000         66.12409034         66.12159414
         -8.45200000         76.24426398         76.24177503
         -8.44900000         86.36443761         86.36195593
         -8.44600000         60.40091819         60.40238643
         -8.44300000         55.08516092         55.08654569
         -8.44000000         49.76940366         49.77070495
         -8.43700000         44.45364640         44.45486422
         -8.43400000         39.13788913         39.13902348
         -8.43100000        525.99103619        527.89583104
         -8.42800000         15.81238691         15.81218131
         -8.42500000         16.68092522         16.68072190
         -8.42200000         18.17570238         18.17518809
         -8.41900000         20.36391681         20.36341131
         -8.41600000         23.04425122         23.04347388
         -8.41300000         26.60466265         26.60384772
         -8.41000000         31.85620757         31.85495992
         -8.40700000         37.35505367         37.35372235
         -8.40400000         43.06932729         43.06801487
         -8.40100000         48.78360091         48.78230738
         -8.39800000         54.49787452         54.49659990
         -8.39500000         60.21214814         60.21089241
         -8.39200000         41.24038623         41.23939438
         -8.38900000         45.58915062         45.58817017
         -8.38600000         46.00284942         46.00099997
         -8.38300000         54.36834191         54.36639667
         -8.38000000         62.96237403         62.96045912
         -8.37700000         71.55640616         71.55452157
         -8.37400000         39.61608636         39.61536052
         -8.37100000         57.42705095         57.43125426
         -8.36800000         37.70045754         37.70480626
         -8.36500000         12.89987458         12.89945959
         -8.36200000         14.66825172         14.66771247
         -8.35900000         16.78026006         16.77972594
         -8.35600000         18.89226840         18.89173941
         -8.35300000         21.00427673         21.00375288
         -8.35000000         23.14037919         23.13983153
         -8.34700000         25.71355992         25.71290714
         -8.34400000         28.50515824         28.50451003
         -8.34100000         33.48068770         33.48035778
         -8.33800000         34.92833147         34.92800506
         -8.33500000         36.37597525         36.37565234
         -8.33200000         94.83653980         94.92066377
         -8.32900000        169.47013984        169.65748137
         -8.32600000         48.73494717         48.73507071
         -8.32300000         48.15871105         48.15883736
         -8.32000000         47.58247493         47.58260401
         -8.31700000         47.00623880         47.00637066
         -8.31400000         46.43000268         46.43013731
         -8.31100000         45.85376656         45.85390397
         -8.30800000         65.54844276         65.54939333
         -8.30500000         61.61365280         61.61458508
         -8.30200000         57.67886284         57.67977684
         -8.29900000         53.74407287         53.74496860
         -8.29600000         49.80928291         49.81016036
         -8.29300000         45.87449295         45.87535211
         -8.29000000         39.20221792         39.20287736
         -8.28700000         37.50930609         37.50950394
         -8.28400000         48.71867557         48.71570361
         -8.28100000         62.25133333         62.24792994
         -8.27800000         75.78399109         75.78015627
         -8.27500000         49.51145673         49.51191756
         -8.27200000         47.95272296         47.95317291
         -8.26900000         43.50708555         43.50739777
         -8.26600000         42.47558151         42.47588133
         -8.26300000         41.44407747         41.44436489
         -8.26000000         40.41257343         40.41284844
         -8.25700000         36.30138806         36.30152821
         -8.25400000         35.70127973         35.70140655
         -8.25100000         35.10117140         35.10128490
         -8.24800000         31.34133738         31.34129092
         -8.24500000         28.72407924         28.72366343
         -8.24200000         30.45981715         30.45939943
         -8.23900000         38.07390948         38.07175023
         -8.23600000         71.89962932         71.89058001
         -8.23300000         66.12774051         66.17534465
         -8.23000000         46.74312995         46.74113015
         -8.22700000         55.04332276         55.04132054
         -8.22400000         58.06469171         58.06222384
         -8.22100000         41.76056369         41.75978768
         -8.21800000         45.13199107         45.13126026
         -8.21500000         48.50341845         48.50273284
         -8.21200000         64.49384360         64.48964055
         -8.20900000         49.92634477         49.92253288
         -8.20600000         82.42210446         82.42882467
         -8.20300000        384.61694249        384.26641487
         -8.20000000         36.62610348         36.62547454
         -8.19700000         39.06290783         39.06230640
         -8.19400000         41.49971218         41.49913826
         -8.19100000         49.54116329         49.54037025
         -8.18800000         52.80156849         52.80080764
         -8.18500000         62.13104106         62.13003240
         -8.18200000         66.40746407         66.40649186
         -8.17900000         60.10009483         60.10013622
         -8.17600000         60.20958850         60.20963011
         -8.17300000         60.31908218         60.31912399
         -8.17000000         60.42857585         60.42861788
         -8.16700000         60.53806953         60.53811177
         -8.16400000         60.64756320         60.64760566
         -8.16100000         60.75705687         60.75709955
         -8.15800000         60.86655055         60.86659344
         -8.15500000         60.97604422         60.97608732
         -8.15200000         70.51989187         70.51979656
         -8.14900000        163.53978274        163.12221298
         -8.14600000         79.67774401         79.67752310
         -8.14300000         80.92156929         80.92134520
         -8.14000000         72.80786152         72.80904473
         -8.13700000         68.24585054         68.24702941
         -8.13400000         63.68383957         63.68501410
         -8.13100000         69.15256028         69.15345389
         -8.12800000         66.05325056         66.05383744
         -8.12500000         64.00908848         64.00967561
         -8.12200000         61.96492639         61.96551378
         -8.11900000         61.87047529         61.87002810
         -8.11600000         63.58079376         63.58033972
         -8.11300000         64.87054596         64.87059607
         -8.11000000         62.21142777         62.21211584
         -8.10700000         59.04448062         59.04523242
         -8.10400000         80.82440864         80.82596511
         -8.10100000         74.88028968         74.88135958
         -8.09800000        103.67729929        103.67974563
         -8.09500000         89.52861909         89.53200251
         -8.09200000         72.85078391         72.85435892
         -8.08900000         60.21474215         60.21779275
         -8.08600000         57.46494075         57.46400436
         -8.08300000         60.61187129         60.61039481
         -8.08000000         67.73796516         67.73664088
         -8.07700000         74.86405903         74.86288695
         -8.07400000         46.74432479         46.74507785
         -8.07100000         40.82359195         40.82398093
         -8.06800000         39.34890361         39.34929276
         -8.06500000         49.18325586         49.18368424
         -8.06200000         47.44964257         47.45007190
         -8.05900000        109.49642214        109.50880670
         -8.05600000         66.22294153         66.23456215
         -8.05300000         54.51928869         54.51979445
         -8.05000000         52.44605518         52.44656310
         -8.04700000         80.42573844         80.42761678
         -8.04400000         73.72080359         73.72257621
         -8.04100000         67.08286077         67.08448863
         -8.03800000         60.57405547         60.57559130
         -8.03500000         54.10375452         54.10454884
         -8.03200000         51.77083970         51.77123901
         -8.02900000         49.95409658         49.95449843
         -8.02600000         47.56149335         47.56186825
         -8.02300000         45.86883969         45.86921759
         -8.02000000         80.45641129         80.45942372
         -8.01700000         72.20924812         72.21187154
         -8.01400000         64.09808864         64.10031359
         -8.01100000         69.01953445         69.02127517
         -8.00800000         65.71761633         65.71792285
         -8.00500000         63.40737143         63.40770603
         -8.00200000         61.86300457         61.86334195
         -7.99900000        192.25253175        192.61198286
         -7.99600000         74.38488278         74.38553705
         -7.99300000         71.64111830         71.64175669
         -7.99000000         68.89735381         68.89797634
         -7.98700000         66.15358933         66.15419599
         -7.98400000         63.40982485         63.41041563
         -7.98100000         65.24810458         65.24901127
         -7.97800000         62.17879610         62.17946303
         -7.97500000         59.37088850         59.37157192
         -7.97200000         56.42775316         56.42841856
         -7.96900000         53.72522787         53.72590923
         -7.96600000         58.68950964         58.69001072
         -7.96300000         55.32524338         55.32567715
         -7.96000000         53.74015665         53.74059829
         -7.95700000         50.90121805         50.90136262
         -7.95400000         50.37941495         50.37955735
         -7.95100000         49.85761185         49.85775208
         -7.94800000         49.33580876         49.33594681
         -7.94500000         48.81400566         48.81414154
         -7.94200000         48.29220256         48.29233627
         -7.93900000         47.77039946         47.77053100
         -7.93600000         47.42821080         47.42824453
         -7.93300000         47.33505560         47.33508733
         -7.93000000         47.24190040         47.24193014
         -7.92700000         47.14874520         47.14877294
         -7.92400000         72.45224363         72.44989117
         -7.92100000        109.53954457        109.53493918
         -7.91800000        159.67436689        159.66841574
         -7.91500000        167.63873434        167.65231244
         -7.91200000        181.82917999        181.82384378
         -7.90900000        177.48712295        177.50631183
