      Energy                down
      -20.00000000       24.03538959
      -19.99725000       20.05665372
      -19.99450000       16.07902227
      -19.99175000       14.23082974
      -19.98900000       13.26199187
      -19.98625000       12.29289090
      -19.98350000       11.32352680
      -19.98075000       10.35389958
      -19.97800000        9.38400925
      -19.97525000        8.58641283
      -19.97250000        9.08168215
      -19.96975000       20.11136616
      -19.96700000       15.28004665
      -19.96425000       10.77031721
      -19.96150000        8.43309726
      -19.95875000       10.50916290
      -19.95600000       12.58564872
      -19.95325000       39.17826538
      -19.95050000       51.43074869
      -19.94775000       32.95062494
      -19.94500000       25.66450164
      -19.94225000       18.37509100
      -19.93950000       17.56938720
      -19.93675000       17.82464961
      -19.93400000       18.09923667
      -19.93125000       18.37383773
      -19.92850000       18.64845282
      -19.92575000       16.31324050
      -19.92300000       16.22713029
      -19.92025000       16.14100980
      -19.91750000       16.05487905
      -19.91475000       15.96873802
      -19.91200000       15.88258673
      -19.90925000       15.79642516
      -19.90650000       15.71025332
      -19.90375000       15.62407121
      -19.90100000       15.53787883
      -19.89825000       15.45167618
      -19.89550000       15.36546326
      -19.89275000       15.27924007
      -19.89000000       15.19300661
      -19.88725000       15.10676287
      -19.88450000       15.02050887
      -19.88175000       14.94197072
      -19.87900000       15.08579442
      -19.87625000       15.35741188
      -19.87350000       15.69379318
      -19.87075000       61.80498902
      -19.86800000       36.59245643
      -19.86525000       34.37857431
      -19.86250000       31.10351723
      -19.85975000       29.30878633
      -19.85700000       27.60752227
      -19.85425000       24.87848806
      -19.85150000       21.95316524
      -19.84875000       19.78257685
      -19.84600000       18.49948222
      -19.84325000       17.21609195
      -19.84050000       14.84540633
      -19.83775000        8.12274117
      -19.83500000        1.85406953
      -19.83225000        1.45520554
      -19.82950000        2.90830162
      -19.82675000        4.36235378
      -19.82400000        5.81736202
      -19.82125000        7.27332636
      -19.81850000        8.73024678
      -19.81575000       10.18812329
      -19.81300000       11.64695588
      -19.81025000       13.10674457
      -19.80750000       14.56748934
      -19.80475000       16.02919019
      -19.80200000       17.49184714
      -19.79925000       23.23928731
      -19.79650000       31.40979509
      -19.79375000       11.43040754
      -19.79100000       11.88570435
      -19.78825000       12.34092712
      -19.78550000       12.79607586
      -19.78275000       13.25115056
      -19.78000000       13.70615123
      -19.77725000       14.16107786
      -19.77450000        9.40137078
      -19.77175000        4.87553241
      -19.76900000        2.97837663
      -19.76625000        2.90026297
      -19.76350000        2.82214049
      -19.76075000        7.31276541
      -19.75800000       62.16918916
      -19.75525000      120.42773677
      -19.75250000      130.04830806
      -19.74975000       13.03900532
      -19.74700000       16.62874919
      -19.74425000       20.21661220
      -19.74150000       23.80259435
      -19.73875000       27.67234665
      -19.73600000       28.45618866
      -19.73325000       17.92448976
      -19.73050000       10.84588470
      -19.72775000       10.57496880
      -19.72500000       10.30400713
      -19.72225000       10.03299966
      -19.71950000        9.76194642
      -19.71675000        9.49084739
      -19.71400000        9.21970258
      -19.71125000        8.94851199
      -19.70850000        8.67727561
      -19.70575000        8.40599345
      -19.70300000        8.13466550
      -19.70025000        7.86329177
      -19.69750000        7.59187226
      -19.69475000        7.32040697
      -19.69200000        7.04889589
      -19.68925000       24.25721795
      -19.68650000       13.53325643
      -19.68375000       13.96813580
      -19.68100000       14.40292804
