      Energy                up 
      -19.42525000        1.70689396 
      -19.42250000        1.61720099 
      -19.41975000        1.52764252 
      -19.41700000        1.43821854 
      -19.41425000        1.34892907 
      -19.41150000        1.25977408 
      -19.40875000        1.17075360 
      -19.40600000        4.11037882 
      -19.40325000        4.14404212 
      -19.40050000        5.97038508 
      -19.39775000        8.14858140 
      -19.39500000        6.53053078 
      -19.39225000        2.83738166 
      -19.38950000        2.08029456 
      -19.38675000        2.62965722 
      -19.38400000        3.28451393 
      -19.38125000        3.65033123 
      -19.37850000        2.85605370 
      -19.37575000        2.46672259 
      -19.37300000        0.93101347 
      -19.37025000        0.17357493 
      -19.36750000        0.17860420 
      -19.36475000        0.18362662 
      -19.36200000        0.18864219 
      -19.35925000        0.19365092 
      -19.35650000        0.19865280 
      -19.35375000        0.20364783 
      -19.35100000        0.20863602 
      -19.34825000        0.21361736 
      -19.34550000        0.21859186 
      -19.34275000        0.22355951 
      -19.34000000        0.22852031 
      -19.33725000        0.23347427 
      -19.33450000        5.54275656 
      -19.33175000        4.27324010 
      -19.32900000        3.39112222 
      -19.32625000        2.79755260 
      -19.32350000        2.22208759 
      -19.32075000        1.64648367 
      -19.31800000        1.07074086 
      -19.31525000        0.49485915 
      -19.31250000        0.05946982 
      -19.30975000        0.07375279 
      -19.30700000        0.30724350 
      -19.30425000        0.58166627 
      -19.30150000        0.86952245 
      -19.29875000        1.17992328 
      -19.29600000        1.54704438 
      -19.29325000        1.91486208 
      -19.29050000        2.28337104 
      -19.28775000        2.65257125 
      -19.28500000        3.02246271 
      -19.28225000        3.39304543 
      -19.27950000        3.76431940 
      -19.27675000        4.13628462 
      -19.27400000        4.50894110 
      -19.27125000        6.24604536 
      -19.26850000        8.53033327 
      -19.26575000        2.66619947 
      -19.26300000        2.78819852 
      -19.26025000        3.24135783 
      -19.25750000        3.41852296 
      -19.25475000        2.92041034 
      -19.25200000        2.09733286 
      -19.24925000        1.50291162 
      -19.24650000        2.53948686 
      -19.24375000        1.71735253 
      -19.24100000        1.77571935 
      -19.23825000        1.83401322 
      -19.23550000        1.89223416 
      -19.23275000        1.95038216 
      -19.23000000        2.00845721 
      -19.22725000        2.06645933 
      -19.22450000        2.12438850 
      -19.22175000        2.18224474 
      -19.21900000        2.24002803 
      -19.21625000        2.29773838 
      -19.21350000        2.35537580 
      -19.21075000        2.41294027 
      -19.20800000        2.47043180 
      -19.20525000        2.52785039 
      -19.20250000        2.55448248 
      -19.19975000        2.52958771 
      -19.19700000        2.27571371 
      -19.19425000        1.53377754 
      -19.19150000        1.07941384 
      -19.18875000        1.02633343 
      -19.18600000        1.04182659 
      -19.18325000        1.49826194 
      -19.18050000        1.98664195 
      -19.17775000        2.47550555 
      -19.17500000        2.96485273 
      -19.17225000        3.45468349 
      -19.16950000        7.34890904 
      -19.16675000        1.92945640 
      -19.16400000        2.26691814 
      -19.16125000        4.88620582 
      -19.15850000        3.60244466 
      -19.15575000        3.69994227 
      -19.15300000        3.79838697 
      -19.15025000        3.89777877 
      -19.14750000        3.99811766 
      -19.14475000        3.91644965 
      -19.14200000        3.80299261 
      -19.13925000        3.85521633 
      -19.13650000        3.99431840 
      -19.13375000        3.33974735 
      -19.13100000        2.34694907 
      -19.12825000        2.03245234 
      -19.12550000        2.32038046 
      -19.12275000        2.39104728 
      -19.12000000        2.45828307 
      -19.11725000        2.52208783 
      -19.11450000        2.58246156 
      -19.11175000        0.95079120 
      -19.10900000        3.80382340 
      -19.10625000        1.47811183 
      -19.10350000        1.54940416 
      -19.10075000        1.62081615 
      -19.09800000        1.69234779 
      -19.09525000        1.76399909 
      -19.09250000        1.83577004 
      -19.08975000        1.90766065 
      -19.08700000        1.97967092 
      -19.08425000        2.11004689 
      -19.08150000        2.66109987 
      -19.07875000        3.31304794 
      -19.07600000        3.99214892 
      -19.07325000        4.68857019 
      -19.07050000        5.39538341 
      -19.06775000        6.10568925 
      -19.06500000        3.74064805 
      -19.06225000        2.45892364 
      -19.05950000        1.98724460 
      -19.05675000        2.00570905 
      -19.05400000        2.02445027 
