# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#  aims_uuid : 1413069A-0E3F-4886-A331-31A685AFF64A                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -20.00000000         25.00740181         26.76044784
        -19.99725000         20.02309838         22.32612610
        -19.99450000         16.66374697         17.89180436
        -19.99175000         15.57846336         15.83126151
        -19.98900000         14.49317974         14.75155301
        -19.98625000         13.40789613         13.67184451
        -19.98350000         12.32261251         12.59213601
        -19.98075000         11.23732890         11.51242750
        -19.97800000         10.15204528         10.43271900
        -19.97525000          9.58387798          9.54478412
        -19.97250000         10.15410462         10.09379899
        -19.96975000         20.85205008         22.34799882
        -19.96700000         15.41891580         16.97954573
        -19.96425000         10.63352947         11.96799623
        -19.96150000         10.20649035          9.37041614
        -19.95875000         12.54852418         11.67726160
        -19.95600000         46.31374299         13.98410705
        -19.95325000         43.76640042         43.53414647
        -19.95050000         42.01087853         57.16471156
        -19.94775000         34.08107363         36.61715066
        -19.94500000         26.15126874         28.52082743
        -19.94225000         19.61202164         20.42450420
        -19.93950000         19.71273144         19.52905484
        -19.93675000         20.03208506         19.81165397
        -19.93400000         20.35211133         20.11569997
        -19.93125000         20.67213760         20.41974598
        -19.92850000         19.77961662         20.72379198
        -19.92575000         18.01362858         18.12395200
        -19.92300000         17.91885976         18.02626916
        -19.92025000         17.82409093         17.92858633
        -19.91750000         17.72932211         17.83090349
        -19.91475000         17.63455328         17.73322066
        -19.91200000         17.53978446         17.63553782
        -19.90925000         17.44501563         17.53785498
        -19.90650000         17.35024681         17.44017215
        -19.90375000         17.25547798         17.34248931
        -19.90100000         17.16070916         17.24480648
        -19.89825000         17.06594034         17.14712364
        -19.89550000         16.97117151         17.04944081
        -19.89275000         16.87640269         16.95175797
        -19.89000000         16.78163386         16.85407514
        -19.88725000         16.68686504         16.75639230
        -19.88450000         16.59209621         16.65870947
        -19.88175000         16.53788268         16.56958175
        -19.87900000         16.73832913         16.72666222
        -19.87625000         17.03475609         17.02518435
        -19.87350000         70.46252550         17.39535218
        -19.87075000         48.54653083         68.49515043
        -19.86800000         43.44570359         40.55320115
        -19.86525000         36.97238150         38.10093305
        -19.86250000         34.40564546         34.47165478
        -19.85975000         32.42382438         32.48309522
        -19.85700000         30.23037157         30.59820780
        -19.85425000         26.81785163         27.57513592
        -19.85150000         23.40533169         24.33479470
        -19.84875000         21.74165329         21.93095452
        -19.84600000         20.32676428         20.51088034
        -19.84325000         18.91187526         19.09080616
        -19.84050000         12.88957869         16.46524590
        -19.83775000          5.25352509          9.01128187
        -19.83500000          1.10853098          2.05836184
        -19.83225000          2.45217705          1.61667596
        -19.82950000          3.98559618          3.22945165
        -19.82675000          5.51901530          4.84222734
        -19.82400000          7.05243442          6.45500303
        -19.82125000          8.58585355          8.06777872
        -19.81850000         10.11927267          9.68055441
        -19.81575000         11.65269179         11.29333010
        -19.81300000         13.18611092         12.90610578
        -19.81025000         14.71953004         14.51888147
        -19.80750000         16.25294916         16.13165716
        -19.80475000         17.78636829         17.74443285
        -19.80200000         19.31978741         19.35720854
        -19.79925000         28.67750375         25.70547481
        -19.79650000         27.59694460         34.73777721
        -19.79375000         12.61765864         12.64241107
        -19.79100000         13.14802816         13.14297952
