      Energy               up
      -20.00000000       22.45856834
      -19.99725000       17.98859364
      -19.99450000       14.97679475
      -19.99175000       14.00322544
      -19.98900000       13.02938862
      -19.98625000       12.05528430
      -19.98350000       11.08091248
      -19.98075000       10.10627315
      -19.97800000        9.13136632
      -19.97525000        8.62149501
      -19.97250000        9.13586670
      -19.96975000       18.76400670
      -19.96700000       13.87500599
      -19.96425000        9.56864425
      -19.96150000        9.18454997
      -19.95875000       11.29220464
      -19.95600000       41.67784271
      -19.95325000       39.37708881
      -19.95050000       37.79831386
      -19.94775000       30.66503267
      -19.94500000       23.52855996
      -19.94225000       17.64126277
      -19.93950000       17.73271431
      -19.93675000       18.02101395
      -19.93400000       18.30991415
      -19.93125000       18.59880923
      -19.92850000       17.79788436
      -19.92575000       16.21284337
      -19.92300000       16.12941247
      -19.92025000       16.04596609
      -19.91750000       15.96250422
      -19.91475000       15.87902686
      -19.91200000       15.79553401
      -19.90925000       15.71202568
      -19.90650000       15.62850187
      -19.90375000       15.54496256
      -19.90100000       15.46140777
      -19.89825000       15.37783750
      -19.89550000       15.29425174
      -19.89275000       15.21065049
      -19.89000000       15.12703375
      -19.88725000       15.04340153
      -19.88450000       14.95975382
      -19.88175000       14.91271585
      -19.87900000       15.09566326
      -19.87625000       15.36535010
      -19.87350000       63.56712388
      -19.87075000       43.80163723
      -19.86800000       39.19817347
      -19.86525000       33.35835467
      -19.86250000       31.04209031
      -19.85975000       29.25309156
      -19.85700000       27.27301612
      -19.85425000       24.19217426
      -19.85150000       21.11131090
      -19.84875000       19.60826009
      -19.84600000       18.32936706
      -19.84325000       17.05015113
      -19.84050000       11.61770926
      -19.83775000        4.73316970
      -19.83500000        0.99723178
      -19.83225000        2.20720656
      -19.82950000        3.58895358
      -19.82675000        4.97163790
      -19.82400000        6.35525953
      -19.82125000        7.73981847
      -19.81850000        9.12531470
      -19.81575000       10.51174825
      -19.81300000       11.89911909
      -19.81025000       13.28742725
      -19.80750000       14.67667270
      -19.80475000       16.06685546
      -19.80200000       17.45797553
      -19.79925000       25.92746072
      -19.79650000       24.95094135
      -19.79375000       11.40797759
      -19.79100000       11.89023398
      -19.78825000       12.37240199
