       Energy              down           
      -15.03983356        0.41732692      
      -15.03708356        0.34882490      
      -15.03433356        0.27798608      
      -15.03158356        0.24574239      
      -15.02883356        0.22994038      
      -15.02608356        0.21398661      
      -15.02333356        0.19788109      
      -15.02058356        0.18162381      
      -15.01783356        0.16521477      
      -15.01508356        0.15152520      
      -15.01233356        0.15942952      
      -15.00958356        0.35586971      
      -15.00683356        0.26867253      
      -15.00408356        0.18791265      
      -15.00133356        0.14648953      
      -14.99858356        0.18399136      
      -14.99583356        0.22196724      
      -14.99308356        0.69800873      
      -14.99033356        0.91090953      
      -14.98758356        0.58399438      
      -14.98483356        0.45525184      
      -14.98208356        0.32741673      
      -14.97933356        0.31389958      
      -14.97658356        0.31852138      
      -14.97383356        0.32348001      
      -14.97108356        0.32849379      
      -14.96833356        0.33356271      
      -14.96558356        0.29091066      
      -14.96283356        0.28893902      
      -14.96008356        0.28695949      
      -14.95733356        0.28497205      
      -14.95458356        0.28297670      
      -14.95183356        0.28097346      
      -14.94908356        0.27896232      
      -14.94633356        0.27694327      
      -14.94358356        0.27491632      
      -14.94083356        0.27288147      
      -14.93808356        0.27083872      
      -14.93533356        0.26878807      
      -14.93258356        0.26672952      
      -14.92983356        0.26466306      
      -14.92708356        0.26258870      
      -14.92433356        0.26050645      
      -14.92158356        0.25855656      
      -14.91883356        0.26064095      
      -14.91608356        0.26505174      
      -14.91333356        0.27064733      
      -14.91058356        1.09062592      
      -14.90783356        0.62127762      
      -14.90508356        0.57880279      
      -14.90233356        0.52653826      
      -14.89958356        0.50272703      
      -14.89683356        0.47921675      
      -14.89408356        0.43669476      
      -14.89133356        0.38887549      
      -14.88858356        0.35304181      
      -14.88583356        0.33266767      
      -14.88308356        0.31170469      
      -14.88033356        0.27025002      
      -14.87758356        0.14837445      
      -14.87483356        0.03386389      
      -14.87208356        0.02583892      
      -14.86933356        0.05097400      
      -14.86658356        0.07580674      
      -14.86383356        0.10033711      
      -14.86108356        0.12456514      
      -14.85833356        0.14849082      
      -14.85558356        0.17211414      
      -14.85283356        0.19543511      
      -14.85008356        0.21845372      
      -14.84733356        0.24116999      
      -14.84458356        0.26358390      
      -14.84183356        0.28569546      
      -14.83908356        0.37378816      
      -14.83633356        0.50334005      
      -14.83358356        0.18972724      
      -14.83083356        0.19759970      
      -14.82808356        0.20598033      
