# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the chemical potential, mu =       -4.957947 eV
#  aims_uuid : DD481180-E7BD-4871-A6C2-BEA04C886703                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -14.67630263         34.00100252         34.00020564
        -14.67355263         32.07070276         32.06990240
        -14.67080263         30.04621894         30.04548415
        -14.66805263         27.04649821         27.04598049
        -14.66530263         28.96009678         28.95895095
        -14.66255263         28.49865652         28.49830786
        -14.65980263         42.70241957         42.69809701
        -14.65705263         64.35805636         64.35096432
        -14.65430263         44.10228168         44.10137492
        -14.65155263         43.74966822         43.74875828
        -14.64880263         43.69387403         43.69230562
        -14.64605263         40.37950225         40.38251181
        -14.64330263         27.66329362         27.66714148
        -14.64055263         18.12385493         18.12427472
        -14.63780263         15.49780572         15.49714652
        -14.63505263         16.99636570         16.99586991
        -14.63230263         18.49492568         18.49459329
        -14.62955263         20.71628796         20.71522024
        -14.62680263         24.72233523         24.72186181
        -14.62405263         28.72838251         28.72850337
        -14.62130263         17.17858134         17.18209510
        -14.61855263          7.10971920          7.11020545
        -14.61580263          6.70283701          6.70281079
        -14.61305263          7.77017546          7.76958546
        -14.61030263          9.31723584          9.31662182
        -14.60755263         10.86429622         10.86365818
        -14.60480263         12.41135660         12.41069454
        -14.60205263         13.95841698         13.95773090
        -14.59930263         15.50547737         15.50476726
        -14.59655263         17.05253775         17.05180363
        -14.59380263         19.21262380         19.21060097
        -14.59105263         22.51901163         22.51720078
        -14.58830263         25.82539946         25.82380060
        -14.58555263         27.49609103         27.49689932
        -14.58280263         24.49769472         24.49991467
        -14.58005263         21.49929840         21.50293003
        -14.57730263         22.41301338         22.41281710
        -14.57455263         24.35773910         24.35801903
        -14.57180263         26.30246482         26.30322095
        -14.56905263         28.24719054         28.24842288
        -14.56630263         37.39514017         37.39702725
        -14.56355263         39.24419999         39.24443833
        -14.56080263         35.57368366         35.57357973
        -14.55805263         32.16834838         32.16830641
        -14.55530263         28.76301310         28.76303310
        -14.55255263         25.35767782         25.35775978
        -14.54980263         27.65365608         27.65332003
        -14.54705263         31.48692510         31.48635868
        -14.54430263         21.07181022         21.06567627
        -14.54155263         22.17471372         22.17383363
        -14.53880263         20.42004218         20.41957461
        -14.53605263         21.67511383         21.67193363
        -14.53330263         47.94113589         47.91506185
        -14.53055263         60.61717122         60.62103409
        -14.52780263         49.13844699         49.14209903
        -14.52505263         39.31196749         39.31144448
        -14.52230263         41.21585093         41.21477716
        -14.51955263         37.41776394         37.41959252
        -14.51680263         32.41012027         32.40766806
        -14.51405263         35.91703182         35.91424564
        -14.51130263         39.42394336         39.42082321
        -14.50855263         41.54502185         41.54733911
        -14.50580263         35.65598217         35.65864364
        -14.50305263         29.76694248         29.76994818
        -14.50030263         23.87790279         23.88125272
        -14.49755263         21.56486707         21.56509662
        -14.49480263         20.57940917         20.57971879
        -14.49205263         19.59395127         19.59434097
        -14.48930263         18.60849337         18.60896314
        -14.48655263         18.84693392         18.84682685
        -14.48380263         19.23554168         19.23547928
        -14.48105263         19.62414944         19.62413171
        -14.47830263         15.54817611         15.55038842
        -14.47555263         10.69361358         10.69608487
        -14.47280263          5.11893626          5.12195141
        -14.47005263          1.16438608          1.16370461
        -14.46730263          1.85780231          1.85725726
        -14.46455263          2.55121855          2.55080991
        -14.46180263          3.24463479          3.24436255
        -14.45905263          3.93805103          3.93791520
        -14.45630263          4.63146727          4.63146784
        -14.45355263          5.32488351          5.32502049
        -14.45080263          6.01829974          6.01857313
        -14.44805263          6.71171598          6.71212578
        -14.44530263          7.40513222          7.40567843
        -14.44255263         22.37280111         22.37632475
        -14.43980263         52.24870526         52.24677646
        -14.43705263         49.98141871         49.97952813
        -14.43430263         47.71413217         47.71227980
        -14.43155263         45.44684563         45.44503147
        -14.42880263         42.89082820         42.89053598
        -14.42605263         30.81523973         30.81631580
        -14.42330263         27.85886776         27.85963750
        -14.42055263         46.81290495         46.80345823
        -14.41780263        109.68056120        109.67501763
        -14.41505263         85.20322448         85.20785855
        -14.41230263         47.15731456         47.16451216
        -14.40955263         12.36759982         12.37078151
        -14.40680263          3.63997085          3.64002838
        -14.40405263         29.87046458         29.84888043
        -14.40130263         40.44394451         40.45176706
        -14.39855263         47.38481683         47.37813790
        -14.39580263         58.40337522         58.39624319
        -14.39305263         71.15048862         71.14253765
        -14.39030263         53.62624480         53.64750920
        -14.38755263         30.30854572         30.32106934
        -14.38480263         19.66240576         19.66500518
        -14.38205263         18.14043293         18.13976493
        -14.37930263         18.63251922         18.63289354
        -14.37655263         17.82763638         17.82794858
        -14.37380263         17.02275353         17.02300361
        -14.37105263         17.28794519         17.28756812
        -14.36830263         18.24325095         18.24278920
        -14.36555263         19.19855670         19.19801027
        -14.36280263         19.36296273         19.36284465
        -14.36005263         19.49898686         19.49884741
        -14.35730263         19.63501099         19.63485018
        -14.35455263         18.29470126         18.29566573
        -14.35180263         16.84328796         16.84401548
        -14.34905263         15.99827804         15.99895040
        -14.34630263         15.15326813         15.15388531
        -14.34355263         14.30825821         14.30882022
        -14.34080263         13.46324830         13.46375514
        -14.33805263         12.61823839         12.61869005
        -14.33530263         11.77322847         11.77362496
        -14.33255263         10.92821856         10.92855988
        -14.32980263         10.08320864         10.08349479
        -14.32705263          9.23819873          9.23842970
        -14.32430263          8.39318881          8.39336462
        -14.32155263         39.84966971         39.84389323
        -14.31880263         39.29062503         39.28796415
        -14.31605263         40.58724418         40.58619625
        -14.31330263         41.88386333         41.88442835
        -14.31055263         56.30228258         56.30347147
        -14.30780263         52.12893143         52.12985216
        -14.30505263         47.95558028         47.95623286
        -14.30230263         50.46213411         50.45737829
        -14.29955263         66.63369723         66.63256798
        -14.29680263         68.10854206         68.11009302
        -14.29405263         83.41252286         83.41526742
        -14.29130263         56.53781197         56.54078172
        -14.28855263         33.96751125         33.96671859
        -14.28580263         29.29700584         29.29614732
        -14.28305263         28.12922668         28.12831995
        -14.28030263         26.96144753         26.96049258
        -14.27755263         28.56852847         28.56478445
        -14.27480263         30.68940756         30.68377311
        -14.27205263         38.17667025         38.17128234
        -14.26930263         63.90853285         63.91406052
        -14.26655263         53.49693647         53.50454452
        -14.26380263         40.99990163         41.00672417
        -14.26105263         31.04620068         31.04960315
        -14.25830263         24.11195134         24.11494411
        -14.25555263         16.88208019         16.88531004
        -14.25280263          9.91666925          9.92038472
        -14.25005263          2.97270385          2.97661211
        -14.24730263          2.30940179          2.30868659
        -14.24455263          3.77530792          3.77469147
        -14.24180263          5.24121404          5.24069636
        -14.23905263          6.70712017          6.70670125
        -14.23630263          8.17302630          8.17270614
        -14.23355263          9.63893242          9.63871103
        -14.23080263         11.10483855         11.10471592
        -14.22805263         12.57074467         12.57072080
        -14.22530263         14.03665080         14.03672569
        -14.22255263         15.50255692         15.50273058
        -14.21980263         16.96846305         16.96873547
        -14.21705263         18.43436917         18.43474036
        -14.21430263         19.90027530         19.90074525
        -14.21155263         21.36618142         21.36675014
        -14.20880263         22.83208755         22.83275502
        -14.20605263         63.48055386         63.60840518
        -14.20330263         30.20721682         30.20723623
        -14.20055263         25.05755470         25.05703124
        -14.19780263         21.91023921         21.91009484
        -14.19505263         18.76292373         18.76315844
        -14.19230263         73.80626520         73.80375069
        -14.18955263         78.69271316         78.70843271
        -14.18680263         56.94854123         56.95133492
        -14.18405263        171.74209000        170.84881387
        -14.18130263         84.85854126         84.85530162
        -14.17855263         82.99984500         82.98028802
        -14.17580263         67.02940436         67.11649434
        -14.17305263         68.30821675         68.31105540
        -14.17030263         58.52339283         58.52536807
        -14.16755263         51.36296592         51.36183871
        -14.16480263         47.03882719         47.04060868
        -14.16205263         42.22444878         42.22583787
        -14.15930263         37.57957741         37.57982808
        -14.15655263         25.33638118         25.33738790
        -14.15380263         24.29358236         24.29419973
        -14.15105263         23.52481836         23.52536328
        -14.14830263         22.75605436         22.75652683
        -14.14555263         22.36157383         22.36183721
        -14.14280263         21.99314444         21.99334411
        -14.14005263         21.68935057         21.68931032
        -14.13730263         21.57718882         21.57767291
        -14.13455263         21.56350188         21.56380397
        -14.13180263         21.79772601         21.79812119
        -14.12905263         22.07054197         22.07096137
        -14.12630263         22.34335793         22.34380155
        -14.12355263         22.61617389         22.61664172
        -14.12080263         22.88898985         22.88948190
        -14.11805263         23.16180581         23.16232208
        -14.11530263         23.43462177         23.43516225
        -14.11255263         23.70743773         23.70800243
        -14.10980263         24.35894771         24.35947200
        -14.10705263         25.39975429         25.40033645
        -14.10430263         36.18535603         36.18622816
        -14.10155263         94.03787215         94.03485886
        -14.09880263         76.13411600         76.14194261
        -14.09605263         61.26539154         61.26460451
        -14.09330263         55.51564856         55.52822353
        -14.09055263         38.94356820         38.94537300
        -14.08780263         50.29579913         50.29430392
        -14.08505263         66.15249641         66.15318786
        -14.08230263        128.63930917        128.60035687
        -14.07955263        100.52201673        100.52104743
        -14.07680263         71.22484742         71.22476540
        -14.07405263         57.76748670         57.76984257
        -14.07130263         51.84956652         51.85080942
        -14.06855263         58.10222094         58.09595116
        -14.06580263         84.04180497         84.02497951
        -14.06305263         83.81806087         83.81915314
        -14.06030263         70.34767357         70.36355711
        -14.05755263         31.57108021         31.57199017
        -14.05480263         31.87839177         31.86983713
        -14.05205263         50.99530129         50.96893945
        -14.04930263         54.01779569         54.02165628
        -14.04655263         46.54612692         46.54955206
        -14.04380263         39.07445815         39.07744784
        -14.04105263         31.60278938         31.60534362
        -14.03830263         24.13112061         24.13323940
        -14.03555263         16.65945184         16.66113518
        -14.03280263         12.22725588         12.26239266
        -14.03005263          8.17932957          8.17908592
        -14.02730263         25.97187211         25.97125535
        -14.02455263         52.71715088         52.71821040
        -14.02180263       2189.26557011       2184.86488170
        -14.01905263         73.26779771         73.26104653
        -14.01630263         85.19060914         85.18636516
        -14.01355263         70.66931806         70.66790213
        -14.01080263         80.32368908         80.32316598
        -14.00805263         46.48410167         46.49166232
        -14.00530263          6.03773845          6.03935698
        -14.00255263         24.12343503         24.11701924
        -13.99980263        155.79801186        155.79207758
        -13.99705263         66.62627831         66.62452796
        -13.99430263         54.41399048         54.42123713
        -13.99155263         83.92705593         83.92651378
        -13.98880263         64.31913604         64.32356071
        -13.98605263         55.85977792         55.85923934
        -13.98330263         51.78962967         51.78755617
        -13.98055263         78.53953288         78.53600528
        -13.97780263         81.60784607         81.60385211
        -13.97505263         69.42867144         69.42504927
        -13.97230263         66.03433780         66.03817235
        -13.96955263         53.47882670         53.48227999
        -13.96680263         40.92331559         40.92638763
        -13.96405263         45.32985606         45.33177555
        -13.96130263         59.92121573         59.92141620
        -13.95855263         57.79366423         57.78422496
        -13.95580263         52.11549552         52.11563937
        -13.95305263         74.32651117         74.32314671
        -13.95030263         75.41087454         75.41402232
        -13.94755263         56.64448293         56.64915546
        -13.94480263         24.36021852         24.36274570
        -13.94205263        103.58287368        103.58038234
        -13.93930263        208.17523833        208.25219491
        -13.93655263        159.48738575        159.50019655
        -13.93380263         77.52727139         77.52288439
        -13.93105263         92.44848644         92.44631083
        -13.92830263         56.83615235         56.83594556
        -13.92555263          9.64620297          9.64429930
        -13.92280263         75.79957214         75.79897524
        -13.92005263        155.72951769        155.73112972
        -13.91730263        166.41216879        166.41415532
        -13.91455263        151.81407449        151.80981890
        -13.91180263         70.83109478         70.83161213
        -13.90905263         33.80367404         33.80884865
        -13.90630263         43.75310121         43.74123099
        -13.90355263         66.55562158         66.57177264
        -13.90080263         43.11884681         43.11960027
        -13.89805263         43.21944614         43.22014885
        -13.89530263         44.10086790         44.10087581
        -13.89255263         89.12695451         89.12411594
        -13.88980263         34.94228544         34.94593640
        -13.88705263         15.62679218         15.62737985
        -13.88430263          9.68119799          9.68312097
        -13.88155263         11.38408925         11.38324733
        -13.87880263         86.17402635         86.12103917
        -13.87605263         76.24435862         76.24816440
        -13.87330263         52.96372380         52.96262805
        -13.87055263         48.43196524         48.43425861
        -13.86780263         25.96573277         25.97112688
        -13.86505263          9.92704437          9.93106398
        -13.86230263          8.35281279          8.35503468
        -13.85955263         88.04359067         88.03503992
        -13.85680263        147.02281256        147.01950275
        -13.85405263        258.40052880        258.37123508
        -13.85130263        113.83870387        113.87876862
        -13.84855263         91.84977905         91.85012816
        -13.84580263         89.97971410         89.97990563
        -13.84305263         77.02289471         77.02291178
        -13.84030263        131.70368457        131.70298619
        -13.83755263        277.19032304        277.20518344
        -13.83480263        207.49710098        207.47026098
        -13.83205263         32.84755122         32.84906286
        -13.82930263         14.99155882         14.99030473
        -13.82655263         50.34155950         50.33283393
        -13.82380263        188.71804975        188.68852559
        -13.82105263        133.60558018        133.61473065
        -13.81830263        147.61044777        147.60183338
        -13.81555263        198.16126806        198.16576048
        -13.81280263        130.82356447        130.82260391
        -13.81005263          9.74233030          9.77153794
        -13.80730263          0.00000000          0.00000000
        -13.80455263          1.38537932          1.37955259
        -13.80180263        122.49056999        122.24785520
        -13.79905263        349.40494803        349.22809043
        -13.79630263          0.00000000          0.00000000
        -13.79355263          0.00000000          0.00000000
        -13.79080263        120.80476757        120.76477852
        -13.78805263        135.10715172        135.02940343
        -13.78530263        112.16756792        112.21129521
        -13.78255263         48.85770884         48.86306106
        -13.77980263         43.94666103         43.95180317
        -13.77705263         39.03561321         39.04054527
        -13.77430263         34.12456539         34.12928738
        -13.77155263         58.18851221         58.19315885
        -13.76880263         54.28904787         54.29353269
        -13.76605263         74.59240867         74.59009010
        -13.76330263         72.28383332         72.28177153
        -13.76055263         37.38063592         37.37994693
        -13.75780263         45.56765731         45.56669416
        -13.75505263         64.72024085         64.71837521
        -13.75230263        112.16883888        112.17421477
        -13.74955263         75.15837088         75.15604791
        -13.74680263        179.46095852        179.42148067
        -13.74405263        170.95510093        170.96454946
        -13.74130263        120.54891752        120.54677581
        -13.73855263        142.22287923        142.22515347
        -13.73580263        154.42619872        154.43470518
        -13.73305263        120.35543828        120.35840478
        -13.73030263         75.56018882         75.55658163
        -13.72755263        120.36235054        120.34787931
        -13.72480263        173.24189240        173.23514756
        -13.72205263        106.30847324        106.31215427
        -13.71930263         92.96683510         92.96968284
        -13.71655263         88.67922330         88.68040796
        -13.71380263         93.41990046         93.41990502
        -13.71105263         78.68881107         78.69083392
        -13.70830263         77.46730869         77.46564384
        -13.70555263        144.55405629        144.52889052
        -13.70280263         92.43292438         92.43566927
        -13.70005263         82.65957289         82.65725957
        -13.69730263        154.78182563        154.69565748
