# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#  aims_uuid : DAD0F8D5-9F64-4E88-A608-98B42B07FF41                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -10.00000000         12.46317505         12.46332168
         -9.99500000          9.27703285          9.27716581
         -9.99000000         39.10718220         39.10694969
         -9.98500000         64.00852667         64.00782236
         -9.98000000         89.19729211         89.19622212
         -9.97500000         52.16989132         52.18345029
         -9.97000000         33.10949535         33.11052734
         -9.96500000         12.04420394         12.04507913
         -9.96000000         37.99085534         37.99341892
         -9.95500000         36.65880674         36.65882067
         -9.95000000         39.41229475         39.41225940
         -9.94500000         42.16578276         42.16569813
         -9.94000000         42.44956073         42.44965136
         -9.93500000         42.22102502         42.22093359
         -9.93000000         43.18231629         43.18219423
         -9.92500000         44.14360756         44.14345488
         -9.92000000         21.08142815         21.08084334
         -9.91500000         31.83989927         31.83932671
         -9.91000000         42.59837040         42.59781009
         -9.90500000         53.72765372         53.72704268
         -9.90000000         11.84030972         11.84009318
         -9.89500000         15.91146599         15.91124165
         -9.89000000         19.98262226         19.98239012
         -9.88500000         47.14690836         47.14625944
         -9.88000000         57.98699084         57.98624062
         -9.87500000        204.35733415        204.38558735
         -9.87000000         20.79277179         20.79252185
         -9.86500000         61.11907033         61.12703565
         -9.86000000         54.74283867         54.74297831
         -9.85500000         70.87073144         70.87141127
         -9.85000000         85.59928792         85.60093239
         -9.84500000         88.01673762         88.01789389
         -9.84000000         67.03415675         67.03540928
         -9.83500000         84.80529565         84.80621253
         -9.83000000         63.36747141         63.36906297
         -9.82500000         57.33909291         57.34142969
         -9.82000000         73.57147067         73.57371634
         -9.81500000         43.40948901         43.41120235
         -9.81000000         25.84392194         25.84468272
         -9.80500000         54.76666195         54.76491510
         -9.80000000         97.61118354         97.60788095
         -9.79500000         98.75638715         98.75090877
         -9.79000000        151.36914531        151.40718271
         -9.78500000          0.00000000          0.00000000
         -9.78000000          0.00000000          0.00000000
         -9.77500000          0.00000000          0.00000000
         -9.77000000         63.83533548         63.83622098
         -9.76500000         42.16314075         42.16372220
         -9.76000000         68.26772870         68.26762028
         -9.75500000         71.46226699         71.46201887
         -9.75000000         85.15051692         85.14942132
         -9.74500000         31.58658707         31.58632054
         -9.74000000         34.37649842         34.37621524
         -9.73500000         37.16640977         37.16610993
         -9.73000000         39.95632111         39.95600462
         -9.72500000         63.26041105         63.26219994
         -9.72000000         39.75909207         39.75934191
         -9.71500000         34.76939839         34.76966092
         -9.71000000         29.77970471         29.77997994
         -9.70500000         24.79001103         24.79029895
         -9.70000000         39.72472311         39.72934394
         -9.69500000         41.07791256         41.07758537
         -9.69000000         46.10769720         46.10742672
         -9.68500000         51.13748183         51.13726807
         -9.68000000         61.08082804         61.05548383
         -9.67500000         42.72653453         42.72678815
         -9.67000000         38.45772194         38.45756514
         -9.66500000         45.73002651         45.72975571
         -9.66000000         53.00233107         53.00194627
         -9.65500000         60.73168354         60.73115647
         -9.65000000         40.38539676         40.38557610
         -9.64500000         33.58191883         33.58197287
         -9.64000000         28.85583203         28.85592654
         -9.63500000         26.53715300         26.53588859
         -9.63000000         71.37637161         71.37419022
         -9.62500000         25.19469416         25.19472569
         -9.62000000         23.31964310         23.31968367
         -9.61500000         21.44459203         21.44464164
         -9.61000000         19.56954097         19.56959962
         -9.60500000         17.69448990         17.69455760
         -9.60000000          7.05189687          7.05193908
         -9.59500000          6.36503470          6.36507369
         -9.59000000          5.67817252          5.67820829
         -9.58500000          4.99131035          4.99134289
         -9.58000000          4.30444817          4.30447749
         -9.57500000          3.61758599          3.61761210
         -9.57000000          2.93072382          2.93074670
         -9.56500000         34.98321745         34.98305715
         -9.56000000         46.57298599         46.57292196
         -9.55500000         58.16275453         58.16278678
         -9.55000000         14.21896106         14.21902864
         -9.54500000         11.48740846         11.48748929
         -9.54000000         17.39479914         17.39486494
         -9.53500000         16.44271257         16.44280017
         -9.53000000         15.49062601         15.49073540
         -9.52500000         14.53853944         14.53867063
         -9.52000000         15.75680742         15.75681333
         -9.51500000         31.40943679         31.40950389
         -9.51000000         32.07785239         32.07792448
         -9.50500000         32.74626799         32.74634507
         -9.50000000         33.41468358         33.41476565
         -9.49500000         15.69567849         15.69589592
         -9.49000000          8.32845207          8.32847176
         -9.48500000          8.01196405          8.01197620
         -9.48000000          8.82163170          8.82158557
         -9.47500000         10.43382009         10.43378436
         -9.47000000         12.04600848         12.04598315
         -9.46500000         13.65819688         13.65818193
         -9.46000000         15.27038527         15.27038072
         -9.45500000         16.88257366         16.88257950
         -9.45000000         18.49476205         18.49477829
         -9.44500000         20.14611911         20.14613435
         -9.44000000         14.70679867         14.70679517
         -9.43500000         16.72670376         16.72668792
         -9.43000000         19.40747499         19.40741290
         -9.42500000         22.22895991         22.22888957
         -9.42000000         25.05044483         25.05036625
         -9.41500000         27.87192975         27.87184292
         -9.41000000         13.14978136         13.14977114
         -9.40500000         14.26379344         14.26378697
         -9.40000000         15.37780553         15.37780279
         -9.39500000         16.49181761         16.49181862
         -9.39000000         17.60582970         17.60583444
         -9.38500000         18.71984178         18.71985027
         -9.38000000         19.83385387         19.83386609
         -9.37500000          9.60312368          9.60311345
         -9.37000000         11.06509226         11.06508813
         -9.36500000         12.52706084         12.52706282
         -9.36000000         13.98902942         13.98903750
         -9.35500000         11.12870145         11.12869259
         -9.35000000         14.37968239         14.37966665
         -9.34500000         17.63066333         17.63064071
         -9.34000000         20.88164427         20.88161478
         -9.33500000         28.43251618         28.43257908
         -9.33000000         21.14239406         21.14244572
         -9.32500000         13.85227194         13.85231237
         -9.32000000         34.83351053         34.83211098
         -9.31500000         12.99282309         12.99282549
         -9.31000000         12.17608865         12.17609195
         -9.30500000         12.36241029         12.36236967
         -9.30000000         15.83279745         15.83276001
         -9.29500000         19.90372285         19.90370525
         -9.29000000         24.12460943         24.12461867
         -9.28500000         30.43915767         30.43917651
         -9.28000000         30.95680718         30.95681492
         -9.27500000         34.26125587         34.26123488
         -9.27000000         39.58265988         39.58260739
         -9.26500000         44.90999683         44.90991813
         -9.26000000         43.44558298         43.44558142
         -9.25500000         41.96479447         41.96478792
         -9.25000000         38.10873050         38.10870499
         -9.24500000         37.44467642         37.44464503
         -9.24000000         45.06964877         45.06945092
         -9.23500000         50.21092833         50.21097194
         -9.23000000         46.33379975         46.33383441
         -9.22500000         46.45698153         46.45698315
         -9.22000000         41.92782016         41.92784602
         -9.21500000         37.13903958         37.13908374
         -9.21000000         38.97143441         38.97153424
         -9.20500000         35.40181911         35.40191220
         -9.20000000         90.17385177         90.17416057
         -9.19500000        112.46030702        112.46046084
         -9.19000000         81.18033061         81.18088310
         -9.18500000         63.36256309         63.36294913
         -9.18000000         56.32584974         56.32595297
         -9.17500000         63.45046752         63.45018219
         -9.17000000        106.05260636        106.05458333
         -9.16500000         61.74514093         61.74530585
         -9.16000000         51.03854125         51.03875341
         -9.15500000         26.45138319         26.45138338
         -9.15000000         70.19351351         70.19332381
         -9.14500000         90.20250333         90.20248629
         -9.14000000        176.40354503        176.40136547
         -9.13500000         75.56771298         75.56794236
         -9.13000000         85.66817961         85.66942532
         -9.12500000         67.10737342         67.10804785
         -9.12000000         65.36592692         65.36610623
         -9.11500000         87.01726541         87.01733598
         -9.11000000         98.57084703         98.57119930
         -9.10500000         22.26275976         22.26274607
         -9.10000000         23.42037571         23.42036737
         -9.09500000         34.86401904         34.86416760
         -9.09000000         62.02136159         62.02139184
         -9.08500000         39.87942912         39.87939762
         -9.08000000         30.07408874         30.07406008
         -9.07500000         20.26874836         20.26872255
         -9.07000000         32.11076115         32.11062184
         -9.06500000         28.55667872         28.55653768
         -9.06000000         25.43777409         25.43765257
         -9.05500000         23.73319043         23.73309534
         -9.05000000         38.79214270         38.79207594
         -9.04500000         63.57069815         63.57058827
         -9.04000000        130.92967215        130.92829457
         -9.03500000         91.00997444         91.01616496
         -9.03000000         43.02616627         43.02642623
         -9.02500000         21.53133785         21.53157804
         -9.02000000         15.49840692         15.49841474
         -9.01500000         12.21625358         12.21621833
