# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#  aims_uuid : D3AA7643-2300-48CD-AE9A-6B848CFA3D0D                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -10.00000000          8.46386557          8.46367315
         -9.99500000         10.03963620         10.03944688
         -9.99000000         11.61540682         11.61522061
         -9.98500000         13.19117744         13.19099434
         -9.98000000          6.78513923          6.78511479
         -9.97500000          7.09028936          7.09026219
         -9.97000000          7.39543950          7.39540958
         -9.96500000          7.70058963          7.70055698
         -9.96000000          8.00573976          8.00570437
         -9.95500000          8.31088989          8.31085176
         -9.95000000          8.61604003          8.61599916
         -9.94500000          8.92119016          8.92114655
         -9.94000000          9.22634029          9.22629394
         -9.93500000         15.36289096         15.36268496
         -9.93000000         17.29987702         17.29965399
         -9.92500000         19.23686309         19.23662302
         -9.92000000         21.17384916         21.17359206
         -9.91500000         23.11083523         23.11056109
         -9.91000000         13.99058021         13.99035181
         -9.90500000         15.62241615         15.62217345
         -9.90000000         17.25425209         17.25399508
         -9.89500000         18.88608802         18.88581672
         -9.89000000         20.51792396         20.51763836
         -9.88500000         22.14975989         22.14945999
         -9.88000000         23.78159583         23.78128163
         -9.87500000         12.62078659         12.62107855
         -9.87000000         33.56190293         33.56126180
         -9.86500000         36.44772216         36.44679112
         -9.86000000         39.33354138         39.33232044
         -9.85500000         44.49331961         44.49157145
         -9.85000000         26.96716693         26.97018115
         -9.84500000          0.00000000          0.00000000
         -9.84000000          0.00000000          0.00000000
         -9.83500000          0.00000000          0.00000000
         -9.83000000          4.74680646          4.74655301
         -9.82500000         10.35898940         10.35867119
         -9.82000000         14.89574601         14.89546792
         -9.81500000         19.43250262         19.43226466
         -9.81000000         23.96925923         23.96906139
         -9.80500000         28.50601584         28.50585812
         -9.80000000         33.04277245         33.04265486
         -9.79500000         13.72997512         13.72998732
         -9.79000000         13.53529376         13.53531063
         -9.78500000         13.34061240         13.34063393
         -9.78000000         13.14593104         13.14595724
         -9.77500000         16.56963187         16.56960849
         -9.77000000         16.75376736         16.75375313
         -9.76500000         16.93790285         16.93789778
         -9.76000000         17.12203834         17.12204242
         -9.75500000         17.30617382         17.30618707
         -9.75000000         17.49030931         17.49033171
         -9.74500000         17.67444480         17.67447636
         -9.74000000         17.85858029         17.85862100
         -9.73500000         18.04271577         18.04276564
         -9.73000000         18.22685126         18.22691029
         -9.72500000         18.41098675         18.41105493
         -9.72000000         18.60371591         18.60373643
         -9.71500000         19.36085477         19.36085272
         -9.71000000         20.12377293         20.12377664
         -9.70500000         13.98317724         13.98321753
         -9.70000000         13.31939049         13.31945811
         -9.69500000         12.65560375         12.65569869
         -9.69000000         11.99181700         11.99193928
         -9.68500000         11.32803025         11.32817986
         -9.68000000         10.81590233         10.81593333
         -9.67500000         18.46760580         18.46818663
         -9.67000000         11.35144313         11.35198585
         -9.66500000          7.40951130          7.40977415
         -9.66000000          4.40229037          4.40257840
         -9.65500000          1.39506944          1.39538265
         -9.65000000          0.00000000          0.00000000
         -9.64500000          0.00000000          0.00000000
         -9.64000000          0.21856705          0.21838358
         -9.63500000          2.36659769          2.36640994
         -9.63000000          4.51462833          4.51443630
         -9.62500000          6.66265897          6.66246266
         -9.62000000          8.81068960          8.81048902
         -9.61500000         11.29619269         11.29592795
         -9.61000000         14.00531431         14.00504614
         -9.60500000         16.93689529         16.93657037
         -9.60000000         19.95359858         19.95327449
         -9.59500000         37.94937340         37.95034193
         -9.59000000         28.32294677         28.32387829
         -9.58500000         18.69652014         18.69741465
         -9.58000000          8.64232963          8.64226455
         -9.57500000          9.38132643          9.38126547
         -9.57000000         10.12032322         10.12026639
         -9.56500000         10.85932002         10.85926731
         -9.56000000         11.59831682         11.59826824
         -9.55500000         12.33731362         12.33726916
         -9.55000000         13.07631041         13.07627008
         -9.54500000         13.81530721         13.81527100
         -9.54000000         14.55430401         14.55427193
         -9.53500000         15.29330081         15.29327285
         -9.53000000         16.03229760         16.03227377
         -9.52500000         13.15760052         13.15752285
         -9.52000000         15.00514657         15.00507223
         -9.51500000         16.85269262         16.85262160
         -9.51000000         18.70023867         18.70017098
         -9.50500000         20.54778472         20.54772036
         -9.50000000         22.39533077         22.39526974
         -9.49500000         30.99600094         30.98541218
         -9.49000000         61.32870951         61.33038476
         -9.48500000         77.81878887         77.82163275
         -9.48000000         45.54746815         45.54971196
         -9.47500000         19.54258314         19.54276547
         -9.47000000         16.15141627         16.15147904
