          Energy              down
      -15.06550948        0.39174496  
      -15.06275948        0.38655767  
      -15.06000948        0.38128810  
      -15.05725948        0.37593626  
      -15.05450948        0.37050214  
      -15.05175948        0.37644111  
      -15.04900948        0.92475655  
      -15.04625948        0.00000000  
      -15.04350948        0.00000000  
      -15.04075948        0.00000000  
      -15.03800948        0.00000000  
      -15.03525948        0.00000000  
      -15.03250948        0.00000000  
      -15.02975948        0.00000000  
      -15.02700948        0.04559484  
      -15.02425948        0.12743589  
      -15.02150948        0.20890381  
      -15.01875948        0.28999858  
      -15.01600948        0.37072021  
      -15.01325948        0.45106870  
      -15.01050948        0.53104405  
      -15.00775948        0.61064626  
      -15.00500948        0.36284769  
      -15.00225948        0.36856252  
      -14.99950948        0.37406211  
      -14.99675948        0.37934645  
      -14.99400948        0.38441554  
      -14.99125948        0.38926938  
      -14.98850948        0.39390797  
      -14.98575948        0.40705984  
      -14.98300948        0.03096586  
      -14.98025948        0.05362388  
      -14.97750948        0.07670258  
      -14.97475948        0.10020195  
      -14.97200948        0.12412201  
      -14.96925948        0.14846274  
      -14.96650948        0.17322415  
      -14.96375948        0.19840624  
      -14.96100948        0.22400901  
      -14.95825948        0.25003245  
      -14.95550948        0.27647658  
      -14.95275948        0.30334138  
      -14.95000948        0.33062686  
      -14.94725948        0.35833302  
      -14.94450948        0.38645986  
      -14.94175948        0.41500738  
      -14.93900948        0.44397557  
      -14.93625948        0.06990672  
      -14.93350948        0.06811019  
      -14.93075948        0.06631065  
      -14.92800948        0.06450810  
      -14.92525948        0.06270253  
      -14.92250948        1.65236075  
      -14.91975948        0.88813778  
      -14.91700948        0.79126821  
      -14.91425948        0.69592125  
      -14.91150948        0.60209693  
      -14.90875948        0.50979522  
      -14.90600948        0.64535722  
      -14.90325948        0.55038539  
      -14.90050948        0.45730353  
      -14.89775948        0.36611163  
      -14.89500948        0.30160675  
      -14.89225948        0.29345889  
      -14.88950948        0.28566224  
      -14.88675948        0.27821679  
      -14.88400948        0.27112255  
      -14.88125948        0.26437951  
      -14.87850948        0.25798767  
      -14.87575948        0.25077462  
      -14.87300948        0.24334848  
      -14.87025948        0.23576552  
      -14.86750948        0.22802576  
      -14.86475948        0.22012917  
      -14.86200948        0.21207578  
      -14.85925948        0.20386556  
      -14.85650948        0.19549853  
      -14.85375948        0.18697469  
      -14.85100948        0.17829403  
      -14.84825948        0.16945656  
      -14.84550948        0.16046227  
      -14.84275948        0.15131117  
      -14.84000948        0.14200326  
      -14.83725948        0.13253852  
      -14.83450948        0.12291698  
      -14.83175948        0.11361819  
      -14.82900948        0.10559405  
      -14.82625948        1.20176421  
      -14.82350948        0.24590688  
      -14.82075948        3.14095428  
      -14.81800948        2.47848853  
      -14.81525948        0.00000000  
      -14.81250948        0.00000000  
      -14.80975948        0.00981074  
      -14.80700948        0.02061536  
      -14.80425948        0.03134506  
      -14.80150948        0.13156604  
      -14.79875948        0.28112851  
      -14.79600948        0.42203433  
      -14.79325948        0.55428352  
      -14.79050948        0.67787607  
      -14.78775948        0.42736380  
      -14.78500948        0.43066201  
      -14.78225948        0.43473630  
      -14.77950948        0.43958667  
      -14.77675948        0.44521312  
      -14.77400948        0.45161565  
      -14.77125948        0.45879426  
      -14.76850948        0.46674896  
      -14.76575948        0.03043655  
      -14.76300948        0.03232685  
      -14.76025948        0.03422689  
      -14.75750948        0.03613666  
      -14.75475948        0.03805617  
      -14.75200948        0.03998540  
      -14.74925948        0.04192437  
      -14.74650948        0.04387307  
      -14.74375948        0.04583151  
      -14.74100948        0.04779968  
      -14.73825948        0.04977758  
      -14.73550948        0.05176521  
      -14.73275948        0.05376258  
      -14.73000948        0.05576968  
      -14.72725948        0.05778651  
      -14.72450948        0.05981307  
      -14.72175948        0.06184937  
      -14.71900948        0.06389540  
      -14.71625948        0.06595117  
      -14.71350948        0.06801666  
      -14.71075948        0.07009189  
      -14.70800948        0.07217685  
      -14.70525948        2.68204109  
      -14.70250948        3.79295387  
      -14.69975948        2.28326803  
      -14.69700948        2.41732752  
      -14.69425948        0.17185370  
      -14.69150948        0.15067127  
      -14.68875948        0.12957678  
      -14.68600948        0.10857025  
      -14.68325948        0.08765166  
      -14.68050948        0.30182029  
      -14.67775948        0.27009611  
      -14.67500948        0.23827916  
      -14.67225948        0.20636942  
      -14.66950948        0.18998896  
      -14.66675948        0.47631261  
      -14.66400948        0.43873945  
      -14.66125948        0.39909883  
      -14.65850948        0.35739076  
      -14.65575948        0.31361523  
      -14.65300948        0.26777225  
      -14.65025948        0.21986182  
      -14.64750948        0.17030436  
      -14.64475948        0.17481679  
      -14.64200948        0.17939425  
      -14.63925948        0.18403676  
      -14.63650948        0.18874430  
      -14.63375948        0.19351688  
      -14.63100948        0.19835449  
      -14.62825948        0.20325715  
      -14.62550948        0.20822484  
      -14.62275948        0.21325757  
      -14.62000948        0.21835534  
      -14.61725948        0.22351815  
      -14.61450948        0.22874599  
      -14.61175948        0.23403887  
      -14.60900948        0.23939679  
      -14.60625948        0.24481975  
      -14.60350948        0.25030775  
      -14.60075948        0.25586078  
      -14.59800948        0.26147885  
      -14.59525948        0.26716196  
      -14.59250948        0.28207803  
      -14.58975948        0.30227908  
      -14.58700948        1.04595221  
      -14.58425948        0.75835362  
      -14.58150948        0.45031672  
      -14.57875948        4.92881180  
      -14.57600948        1.06330732  
      -14.57325948        1.74473268  
      -14.57050948        1.01207896  
      -14.56775948        0.96629398  
      -14.56500948        0.92288898  
      -14.56225948        0.88162738  
      -14.55950948        0.84250919  
      -14.55675948        0.80553442  
      -14.55400948        0.32114343  
      -14.55125948        0.31326350  
      -14.54850948        0.30582692  
      -14.54575948        0.29883369  
      -14.54300948        0.29228382  
      -14.54025948        0.28617730  
      -14.53750948        0.28051413  
      -14.53475948        0.01406041  
      -14.53200948        0.01521912  
      -14.52925948        0.01638625  
      -14.52650948        0.01756180  
      -14.52375948        0.01874578  
      -14.52100948        0.01993817  
      -14.51825948        0.02113898  
      -14.51550948        0.02234822  
      -14.51275948        0.02356587  
      -14.51000948        0.02479194  
      -14.50725948        0.02602644  
      -14.50450948        0.02726935  
      -14.50175948        0.02852069  
      -14.49900948        0.02978044  
      -14.49625948        0.03104862  
      -14.49350948        0.03232522  
      -14.49075948        0.03361023  
      -14.48800948        0.03490367  
      -14.48525948        0.03620553  
      -14.48250948        0.03751581  
      -14.47975948        0.03883450  
      -14.47700948        0.04016162  
      -14.47425948        0.04149716  
      -14.47150948        0.04284112  
      -14.46875948        0.04419350  
      -14.46600948        0.04555430  
      -14.46325948        2.04718758  
      -14.46050948        2.50594177  
      -14.45775948        0.00000000  
      -14.45500948        0.00000000  
      -14.45225948        9.78522257  
      -14.44950948        1.61564710  
      -14.44675948        0.33824826  
