       Energy               down 
      -20.00000000        1.45131007 
      -19.99725000        1.42095846 
      -19.99450000        1.39080431 
      -19.99175000        1.36084760 
      -19.98900000        1.33108834 
      -19.98625000        1.34165109 
      -19.98350000        3.27281789 
      -19.98075000        0.00000000 
      -19.97800000        0.00000000 
      -19.97525000        0.00000000 
      -19.97250000        0.00000000 
      -19.96975000        0.00000000 
      -19.96700000        0.00000000 
      -19.96425000        0.00000000 
      -19.96150000        0.21563012 
      -19.95875000        0.59537958 
      -19.95600000        0.97430330 
      -19.95325000        1.35240130 
      -19.95050000        1.72967358 
      -19.94775000        2.10612013 
      -19.94500000        2.48174096 
      -19.94225000        2.85653606 
      -19.93950000        1.75885181 
      -19.93675000        1.80291695 
      -19.93400000        1.84704015 
      -19.93125000        1.89122142 
      -19.92850000        1.93546074 
      -19.92575000        1.97975813 
      -19.92300000        2.02411358 
      -19.92025000        2.11044580 
      -19.91750000        0.14705990 
      -19.91475000        0.25185549 
      -19.91200000        0.35630548 
      -19.90925000        0.46040986 
      -19.90650000        0.56416865 
      -19.90375000        0.66758183 
      -19.90100000        0.77064941 
      -19.89825000        0.87337139 
      -19.89550000        0.97574776 
      -19.89275000        1.07777854 
      -19.89000000        1.17946371 
      -19.88725000        1.28080328 
      -19.88450000        1.38179725 
      -19.88175000        1.48244562 
      -19.87900000        1.58274839 
      -19.87625000        1.68270555 
      -19.87350000        1.78231711 
      -19.87075000        0.27657461 
      -19.86800000        0.26914211 
      -19.86525000        0.26171538 
      -19.86250000        0.25429439 
      -19.85975000        0.24687917 
      -19.85700000        6.72501569 
      -19.85425000        3.60023991 
      -19.85150000        3.23071513 
      -19.84875000        2.86103460 
      -19.84600000        2.49119832 
      -19.84325000        2.12120629 
      -19.84050000        2.79081360 
      -19.83775000        2.40191055 
      -19.83500000        2.01257336 
      -19.83225000        1.62280204 
      -19.82950000        1.34211068 
      -19.82675000        1.30609464 
      -19.82400000        1.26981694 
      -19.82125000        1.23327757 
      -19.81850000        1.19647655 
      -19.81575000        1.15941387 
