        Energy             down 
      -20.00000000       16.48779200  
      -19.99725000       16.17408811  
      -19.99450000       15.86026905  
      -19.99175000       15.54633482  
      -19.98900000       15.23228541  
      -19.98625000       15.38159602  
      -19.98350000       37.56731700  
      -19.98075000        0.00000000  
      -19.97800000        0.00000000  
      -19.97525000        0.00000000  
      -19.97250000        0.00000000  
      -19.96975000        0.00000000  
      -19.96700000        0.00000000  
      -19.96425000        0.00000000  
      -19.96150000        2.35967093  
      -19.95875000        6.53286852  
      -19.95600000       10.70726497  
      -19.95325000       14.88286028  
      -19.95050000       19.05965446  
      -19.94775000       23.23764750  
      -19.94500000       27.41683941  
      -19.94225000       31.59723018  
      -19.93950000       19.39828050  
      -19.93675000       19.88921914  
      -19.93400000       20.38031498  
      -19.93125000       20.87156799  
      -19.92850000       21.36297820  
      -19.92575000       21.85454559  
      -19.92300000       22.34627016  
      -19.92025000       23.30651557  
      -19.91750000        1.64576988  
      -19.91475000        2.82310105  
      -19.91200000        4.00035713  
      -19.90925000        5.17753814  
      -19.90650000        6.35464408  
      -19.90375000        7.53167494  
      -19.90100000        8.70863072  
      -19.89825000        9.88551142  
      -19.89550000       11.06231705  
      -19.89275000       12.23904760  
      -19.89000000       13.41570307  
      -19.88725000       14.59228347  
      -19.88450000       15.76878879  
      -19.88175000       16.94521904  
      -19.87900000       18.12157421  
      -19.87625000       19.29785430  
      -19.87350000       20.47405931  
      -19.87075000        3.17735385  
      -19.86800000        3.09323327  
      -19.86525000        3.00910995  
      -19.86250000        2.92498389  
      -19.85975000        2.84085508  
      -19.85700000       77.96338624  
      -19.85425000       41.77160160  
      -19.85150000       37.48266472  
      -19.84875000       33.19236097  
      -19.84600000       28.90069035  
      -19.84325000       24.60765286  
      -19.84050000       32.23363653  
      -19.83775000       27.71328435  
      -19.83500000       23.19147635  
      -19.83225000       18.66821252  
      -19.82950000       15.41416584  
      -19.82675000       15.00221002  
      -19.82400000       14.59016466  
      -19.82125000       14.17802975  
      -19.81850000       13.76580530  
      -19.81575000       13.35349130  
      -19.81300000       12.94108776  
      -19.81025000       12.47470668  
      -19.80750000       12.00509972  
      -19.80475000       11.53552121  
      -19.80200000       11.06597115  
      -19.79925000       10.59644954  
      -19.79650000       10.12695638  
      -19.79375000        9.65749166  
      -19.79100000        9.18805540  
      -19.78825000        8.71864758  
      -19.78550000        8.24926821  
      -19.78275000        7.77991729  
      -19.78000000        7.31059481  
      -19.77725000        6.84130079  
      -19.77450000        6.37203521  
      -19.77175000        5.90279808  
      -19.76900000        5.43358940  
      -19.76625000        4.98556614  
      -19.76350000        4.60063919  
      -19.76075000       52.02866974  
      -19.75800000       10.99043380  
      -19.75525000      149.46773260  
      -19.75250000      116.00655526  
      -19.74975000        0.00000000  
      -19.74700000        0.00000000  
      -19.74425000        0.48138553  
      -19.74150000        1.01512981  
      -19.73875000        1.54897345  
      -19.73600000        6.58449622  
      -19.73325000       14.45641384  
      -19.73050000       22.33431736  
      -19.72775000       30.21820678  
      -19.72500000       38.10808209  
      -19.72225000       23.35313617  
