       Energy                up 
      -20.00000000        1.45133138 
      -19.99725000        1.42097986 
      -19.99450000        1.39082579 
      -19.99175000        1.36086916 
      -19.98900000        1.33110998 
      -19.98625000        1.34162651 
      -19.98350000        3.28104110 
      -19.98075000        0.00000000 
      -19.97800000        0.00000000 
      -19.97525000        0.00000000 
      -19.97250000        0.00000000 
      -19.96975000        0.00000000 
      -19.96700000        0.00000000 
      -19.96425000        0.00000000 
      -19.96150000        0.21540991 
      -19.95875000        0.59516004 
      -19.95600000        0.97408445 
      -19.95325000        1.35218314 
      -19.95050000        1.72945611 
      -19.94775000        2.10590337 
      -19.94500000        2.48152490 
      -19.94225000        2.85632072 
      -19.93950000        1.75883206 
      -19.93675000        1.80289756 
      -19.93400000        1.84702112 
      -19.93125000        1.89120275 
      -19.92850000        1.93544245 
      -19.92575000        1.97974021 
      -19.92300000        2.02409603 
      -19.92025000        2.11036633 
      -19.91750000        0.14699769 
      -19.91475000        0.25179337 
      -19.91200000        0.35624345 
      -19.90925000        0.46034793 
      -19.90650000        0.56410681 
      -19.90375000        0.66752009 
      -19.90100000        0.77058777 
      -19.89825000        0.87330985 
      -19.89550000        0.97568633 
      -19.89275000        1.07771722 
      -19.89000000        1.17940250 
      -19.88725000        1.28074218 
      -19.88450000        1.38173627 
      -19.88175000        1.48238475 
      -19.87900000        1.58268764 
      -19.87625000        1.68264492 
      -19.87350000        1.78225661 
      -19.87075000        0.27657972 
      -19.86800000        0.26914721 
      -19.86525000        0.26172045 
      -19.86250000        0.25429945 
      -19.85975000        0.24688421 
      -19.85700000        6.72979676 
      -19.85425000        3.60048501 
      -19.85150000        3.23095809 
      -19.84875000        2.86127543 
      -19.84600000        2.49143701 
      -19.84325000        2.12144284 
      -19.84050000        2.79106411 
      -19.83775000        2.40215846 
      -19.83500000        2.01281867 
      -19.83225000        1.62304474 
      -19.82950000        1.34213576 
      -19.82675000        1.30611922 
      -19.82400000        1.26984102 
      -19.82125000        1.23330117 
      -19.81850000        1.19649966 
      -19.81575000        1.15943648 
      -19.81300000        1.12211165 
      -19.81025000        1.07994339 
      -19.80750000        1.03761297 
      -19.80475000        0.99541092 
      -19.80200000        0.95333722 
      -19.79925000        0.91139189 
      -19.79650000        0.86957493 
      -19.79375000        0.82788633 
      -19.79100000        0.78632610 
      -19.78825000        0.74489423 
      -19.78550000        0.70359072 
      -19.78275000        0.66241558 
      -19.78000000        0.62136881 
      -19.77725000        0.58045040 
      -19.77450000        0.53966035 
      -19.77175000        0.49899867 
      -19.76900000        0.45846535 
      -19.76625000        0.41986893 
      -19.76350000        0.38680609 
      -19.76075000        4.37256869 
      -19.75800000        0.91981182 
      -19.75525000       12.68192475 
      -19.75250000        9.88562568 
      -19.74975000        0.00000000 
      -19.74700000        0.00000000 
      -19.74425000        0.04097906 
      -19.74150000        0.08641540 
      -19.73875000        0.13182730 
      -19.73600000        0.56122922 
      -19.73325000        1.23495421 
      -19.73050000        1.91134999 
      -19.72775000        2.59041656 
      -19.72500000        3.27215392 
      -19.72225000        1.99847244 
      -19.71950000        2.01371861 
      -19.71675000        2.02860797 
      -19.71400000        2.04314051 
      -19.71125000        2.05731624 
      -19.70850000        2.07113516 
      -19.70575000        2.08459727 
      -19.70300000        2.09770257 
      -19.70025000        0.12059330 
      -19.69750000        0.12770896 
      -19.69475000        0.13482133 
      -19.69200000        0.14193039 
      -19.68925000        0.14903615 
      -19.68650000        0.15613861 
      -19.68375000        0.16323778 
      -19.68100000        0.17033364 
      -19.67825000        0.17742620 
      -19.67550000        0.18451546 
      -19.67275000        0.19160142 
      -19.67000000        0.19868407 
      -19.66725000        0.20576343 
      -19.66450000        0.21283949 
      -19.66175000        0.21991225 
      -19.65900000        0.22698170 
      -19.65625000        0.23404786 
      -19.65350000        0.24111072 
      -19.65075000        0.24817027 
      -19.64800000        0.25522652 
      -19.64525000        0.26227948 
      -19.64250000        0.26932913 
      -19.63975000       10.57475615 
      -19.63700000       14.75404026 
      -19.63425000        9.28695578 
      -19.63150000        9.84451432 
      -19.62875000        0.65753215 
      -19.62600000        0.57799988 
      -19.62325000        0.49838736 
      -19.62050000        0.41869460 
      -19.61775000        0.33892159 
      -19.61500000        1.32486137 
      -19.61225000        1.18888277 
      -19.60950000        1.05286562 
      -19.60675000        0.91680992 
      -19.60400000        0.84186287 
      -19.60125000        2.30688319 
      -19.59850000        2.08791186 
      -19.59575000        1.86978844 
      -19.59300000        1.65251293 
      -19.59025000        1.43608532 
      -19.58750000        1.22050563 
      -19.58475000        1.00577385 
      -19.58200000        0.79349071 
      -19.57925000        0.81056502 
      -19.57650000        0.82764289 
      -19.57375000        0.84472434 
      -19.57100000        0.86180935 
      -19.56825000        0.87889792 
      -19.56550000        0.89599007 
      -19.56275000        0.91308578 
      -19.56000000        0.93018506 
      -19.55725000        0.94728790 
      -19.55450000        0.96439432 
      -19.55175000        0.98150430 
      -19.54900000        0.99861784 
      -19.54625000        1.01573496 
      -19.54350000        1.03285564 
      -19.54075000        1.04997989 
      -19.53800000        1.06710771 
      -19.53525000        1.08423910 
      -19.53250000        1.10137405 
      -19.52975000        1.11851257 
      -19.52700000        1.18499752 
      -19.52425000        1.27794049 
      -19.52150000        4.30063593 
      -19.51875000        3.08301391 
      -19.51600000        1.86411859 
      -19.51325000       22.18001694 
      -19.51050000        4.21346681 
      -19.50775000        7.07841906 
      -19.50500000        4.17786643 
      -19.50225000        4.05542682 
      -19.49950000        3.93437869 
      -19.49675000        3.81323679 
      -19.49400000        3.69200111 
      -19.49125000        3.57067166 
      -19.48850000        1.49227929 
      -19.48575000        1.47651703 
      -19.48300000        1.46081660 
      -19.48025000        1.44517799 
      -19.47750000        1.42960123 
      -19.47475000        1.41408629 
      -19.47200000        1.39863318 
      -19.46925000        0.08388511 
      -19.46650000        0.09046898 
      -19.46375000        0.09705527 
      -19.46100000        0.10364397 
      -19.45825000        0.11023510 
      -19.45550000        0.11682864 
      -19.45275000        0.12342459 
      -19.45000000        0.13002297 
      -19.44725000        0.13662376 
      -19.44450000        0.14322697 
      -19.44175000        0.14983259 
      -19.43900000        0.15644064 
      -19.43625000        0.16305110 
      -19.43350000        0.16966397 
      -19.43075000        0.17627927 
      -19.42800000        0.18289698 
      -19.42525000        0.18951711 
      -19.42250000        0.19613965 
      -19.41975000        0.20276461 
      -19.41700000        0.20939199 
      -19.41425000        0.21602179 
      -19.41150000        0.22265400 
      -19.40875000        0.22928863 
      -19.40600000        0.23592568 
      -19.40325000        0.24256515 
      -19.40050000        0.24920703 
      -19.39775000        9.55330096 
      -19.39500000       12.44587905 
      -19.39225000        0.00000000 
      -19.38950000        0.00000000 
      -19.38675000       39.76802026 
      -19.38400000        6.96382801 
      -19.38125000        1.49349792 
      -19.37850000        0.46635437 
      -19.37575000        0.45563023 
      -19.37300000        0.44487317 
      -19.37025000        0.43408317 
      -19.36750000        1.04812642 
      -19.36475000        1.76990938 
      -19.36200000        2.49685884 
      -19.35925000        3.22897479 
      -19.35650000        1.04247907 
      -19.35375000        1.02257168 
      -19.35100000        1.00259356 
      -19.34825000        0.98254470 
      -19.34550000        0.96242511 
      -19.34275000        0.94223478 
      -19.34000000        0.92197372 
      -19.33725000        0.90164192 
      -19.33450000        0.88123939 
      -19.33175000        0.86076612 
      -19.32900000        0.84022212 
      -19.32625000        0.81960738 
      -19.32350000        0.79892191 
      -19.32075000        0.77816570 
      -19.31800000        0.75733876 
      -19.31525000        0.73644108 
      -19.31250000        0.71547267 
      -19.30975000        0.69443353 
      -19.30700000        0.67332364 
      -19.30425000        0.65214303 
      -19.30150000        0.63089168 
      -19.29875000        1.67752780 
      -19.29600000        1.82409223 
      -19.29325000        1.97187730 
      -19.29050000        2.12088300 
      -19.28775000        2.27110933 
      -19.28500000        2.42255630 
      -19.28225000        2.57522390 
      -19.27950000        4.17408046 
      -19.27675000        3.99365447 
      -19.27400000        3.81055641 
      -19.27125000        3.62478628 
      -19.26850000        8.73550740 
      -19.26575000       11.63465380 
      -19.26300000        9.93924636 
      -19.26025000        9.69004360 
      -19.25750000        9.44784419 
      -19.25475000        5.85695078 
      -19.25200000        5.82808104 
      -19.24925000        0.06794781 
      -19.24650000        0.10750723 
      -19.24375000        0.14722658 
      -19.24100000        0.18710586 
      -19.23825000        0.22714508 
      -19.23550000        0.26734422 
      -19.23275000        0.30770329 
      -19.23000000        0.34822229 
      -19.22725000        0.38890122 
      -19.22450000        0.42974008 
      -19.22175000        0.47073887 
      -19.21900000        0.51189759 
      -19.21625000        0.55321624 
      -19.21350000        0.59469482 
      -19.21075000        0.63633333 
      -19.20800000        0.67813177 
      -19.20525000        0.72009014 
      -19.20250000        0.76220844 
      -19.19975000        0.80448667 
      -19.19700000        0.84692483 
      -19.19425000        0.88952292 
      -19.19150000        0.93228094 
      -19.18875000        0.97519889 
      -19.18600000        1.01827676 
      -19.18325000        1.06151457 
      -19.18050000        0.66820319 
      -19.17775000        0.72327849 
      -19.17500000        0.77932855 
      -19.17225000        0.96594499 
      -19.16950000        1.25833641 
      -19.16675000        3.31746383 
      -19.16400000        5.11247635 
      -19.16125000        6.96613448 
      -19.15850000        8.84053191 
      -19.15575000       10.73566865 
      -19.15300000        4.37637032 
      -19.15025000       25.62972751 
      -19.14750000       14.68451036 
      -19.14475000        7.06769902 
      -19.14200000        3.93539365 
      -19.13925000        1.75734672 
      -19.13650000        1.81695510 
      -19.13375000        1.87703153 
      -19.13100000        1.93757600 
      -19.12825000        1.99858850 
      -19.12550000        2.06006905 
      -19.12275000        2.12201763 
      -19.12000000        1.50454113 
      -19.11725000        1.50109626 
      -19.11450000        1.49785776 
      -19.11175000        1.49482562 
      -19.10900000        1.49199983 
      -19.10625000        1.48938041 
      -19.10350000        1.48696734 
      -19.10075000        1.48476064 
      -19.09800000        1.48276030 
      -19.09525000        1.48096631 
      -19.09250000        1.47937869 
      -19.08975000        1.47799742 
      -19.08700000        1.47682252 
      -19.08425000        1.47585398 
      -19.08150000        1.47509180 
      -19.07875000        1.49168309 
      -19.07600000        1.54786535 
      -19.07325000        1.61172275 
      -19.07050000        1.70677026 
      -19.06775000        1.81021581 
      -19.06500000        1.91822084 
      -19.06225000        4.06758012 
      -19.05950000        4.59820993 
      -19.05675000        5.13797625 
      -19.05400000        8.68208212 
      -19.05125000       11.43772614 
      -19.04850000       24.86351530 
      -19.04575000       26.31888577 
      -19.04300000       15.08749746 
      -19.04025000        4.22593693 
      -19.03750000        4.35362912 
      -19.03475000        3.89049634 
      -19.03200000        3.60932572 
      -19.02925000        3.32457995 
      -19.02650000        3.03625905 
      -19.02375000        2.74436301 
      -19.02100000        2.44889182 
      -19.01825000        2.14984550 
      -19.01550000        1.84722405 
      -19.01275000        1.62162292 
      -19.01000000        1.41146493 
      -19.00725000        1.28965557 
      -19.00450000        1.19659297 
      -19.00175000        1.10219797 
      -18.99900000        1.00647058 
      -18.99625000        0.90941078 
      -18.99350000        1.87975576 
      -18.99075000        1.53216711 
      -18.98800000        0.97112264 
      -18.98525000        5.32627715 
      -18.98250000        9.71260347 
      -18.97975000       11.66493617 
      -18.97700000        8.78685460 
      -18.97425000       10.08263392 
      -18.97150000       16.72095294 
      -18.96875000       13.17009361 
      -18.96600000        5.76377086 
      -18.96325000        7.97636502 
      -18.96050000        0.84034240 
      -18.95775000        1.17641298 
      -18.95500000       12.19960366 
      -18.95225000       10.74832267 
      -18.94950000       10.51353630 
