# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.290170 eV
#    Energy (eV)      DOS 
         -5.70983013         19.88620807
         -5.70483013         19.05267607
         -5.69983013         18.21914408
         -5.69483013         17.38561208
         -5.68983013         16.55208009
         -5.68483013         15.71854809
         -5.67983013         18.08857739
         -5.67483013         18.01765875
         -5.66983013         18.39808032
         -5.66483013         18.91661381
         -5.65983013         19.43514731
         -5.65483013         19.95368080
         -5.64983013         20.47221429
         -5.64483013         21.06952679
         -5.63983013         21.99534487
         -5.63483013         22.92116295
         -5.62983013         23.84698103
         -5.62483013         24.77279910
         -5.61983013         25.69861718
         -5.61483013         26.62443526
         -5.60983013         27.55025333
         -5.60483013         28.47607141
         -5.59983013         29.40188949
         -5.59483013         30.32770757
         -5.58983013         31.25352564
         -5.58483013         41.07788703
         -5.57983013         40.43587625
         -5.57483013         39.79386547
         -5.56983013         38.83892951
         -5.56483013         30.83496764
         -5.55983013         27.87738750
         -5.55483013         27.83521526
         -5.54983013         27.75413671
         -5.54483013         26.85195974
         -5.53983013         25.82878430
         -5.53483013         24.80560886
         -5.52983013         23.78243343
         -5.52483013         22.75925799
         -5.51983013         21.73608255
         -5.51483013         16.99436198
         -5.50983013         15.97044096
         -5.50483013         26.67271260
         -5.49983013         37.37498425
         -5.49483013         38.00396419
         -5.48983013         31.47606083
         -5.48483013         37.57102290
         -5.47983013         26.58261096
         -5.47483013         28.08849638
         -5.46983013         29.59438181
         -5.46483013         31.10026723
         -5.45983013         32.60615265
         -5.45483013         34.11203808
         -5.44983013         35.61792350
         -5.44483013         37.12380893
         -5.43983013         33.38656371
         -5.43483013         31.94133271
         -5.42983013         30.49610170
         -5.42483013         29.05087069
         -5.41983013         27.60563968
         -5.41483013         26.16040868
         -5.40983013         31.61017341
         -5.40483013         43.77262540
         -5.39983013         75.20047271
         -5.39483013         61.38329987
         -5.38983013         60.59916446
         -5.38483013        123.46723600
         -5.37983013         79.34857985
         -5.37483013         33.64214782
         -5.36983013         12.05139148
         -5.36483013         49.31213542
         -5.35983013         38.71770306
         -5.35483013         44.10226916
         -5.34983013         52.07404761
         -5.34483013         60.04582606
         -5.33983013         27.84858282
         -5.33483013         23.13323201
         -5.32983013         28.62981439
         -5.32483013         36.07873055
         -5.31983013         63.78875769
         -5.31483013         72.10520129
         -5.30983013         64.14289459
         -5.30483013         56.18058789
         -5.29983013         76.26229120
         -5.29483013         73.41000205
         -5.28983013         57.48226228
         -5.28483013         53.12647128
         -5.27983013         58.70782974
         -5.27483013         57.78219086
         -5.26983013         73.56741336
         -5.26483013         75.88735417
         -5.25983013         74.76646369
         -5.25483013         88.47892154
         -5.24983013        125.61550278
         -5.24483013        109.59395325
         -5.23983013         93.27019811
         -5.23483013         81.30390298
         -5.22983013        115.90426536
         -5.22483013         71.69147438
         -5.21983013         79.94991858
         -5.21483013         71.13165277
         -5.20983013         53.02947192
         -5.20483013         45.34099300
         -5.19983013         56.69345687
         -5.19483013         38.70473537
         -5.18983013         41.73985833
         -5.18483013         50.04914525
         -5.17983013         44.56312647
         -5.17483013         44.89626630
         -5.16983013         45.51505865
         -5.16483013         47.47941320
         -5.15983013         46.56306309
         -5.15483013         46.22077557
         -5.14983013         51.19468974
         -5.14483013         39.21297755
         -5.13983013         38.46015581
         -5.13483013         37.70733407
         -5.12983013         56.03333116
         -5.12483013        145.26006198
         -5.11983013         82.60065222
         -5.11483013        110.89821173
         -5.10983013         95.94053016
         -5.10483013        148.74075959
         -5.09983013         93.38213986
         -5.09483013         64.50204483
         -5.08983013         62.25113947
         -5.08483013         57.73887001
         -5.07983013         60.83552078
         -5.07483013         64.30740087
         -5.06983013         67.86653150
         -5.06483013         71.49921470
         -5.05983013         75.13189790
