# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.820388 eV
#    Energy (eV)      DOS 
         -4.20461223         48.43674018
         -4.19961223         63.98781407
         -4.19461223         87.89728566
         -4.18961223         98.86675216
         -4.18461223         96.26782649
         -4.17961223         68.14169420
         -4.17461223         87.95084632
         -4.16961223         84.27352116
         -4.16461223         80.59619600
         -4.15961223         76.91887084
         -4.15461223         76.03734190
         -4.14961223        119.65017560
         -4.14461223         28.08638903
         -4.13961223         11.97086841
         -4.13461223         19.08997563
         -4.12961223         26.20908284
         -4.12461223         46.63987909
         -4.11961223         67.72566309
         -4.11461223         25.55847338
         -4.10961223         14.62960516
         -4.10461223         13.95739973
         -4.09961223         13.28519431
         -4.09461223         12.61298889
         -4.08961223         16.10060130
         -4.08461223         27.02186953
         -4.07961223         43.77121648
         -4.07461223         53.98094623
         -4.06961223         47.85842655
         -4.06461223         41.73590687
         -4.05961223         35.61338719
         -4.05461223         29.49086751
         -4.04961223         23.36834783
         -4.04461223         21.63733083
         -4.03961223         37.04397586
         -4.03461223        128.77123209
         -4.02961223         39.42220890
         -4.02461223         45.73188033
         -4.01961223         52.04155175
         -4.01461223         54.39734976
         -4.00961223         40.66863633
         -4.00461223         43.29203948
         -3.99961223         46.04347043
         -3.99461223         48.99045802
         -3.98961223         51.34385564
         -3.98461223         52.67885548
         -3.97961223         53.73185087
         -3.97461223         54.56469498
         -3.96961223         55.04871738
         -3.96461223         55.85160804
         -3.95961223         56.65449869
         -3.95461223         57.45738935
         -3.94961223         58.26028000
         -3.94461223         59.06317066
         -3.93961223         59.86606131
         -3.93461223         60.66895197
         -3.92961223         69.70708611
         -3.92461223         39.41325179
         -3.91961223         40.26129025
         -3.91461223         41.10932870
         -3.90961223         41.95736716
         -3.90461223         42.80540561
         -3.89961223         43.65344406
         -3.89461223         36.60603310
         -3.88961223         33.38192099
         -3.88461223         34.81094110
         -3.87961223         36.23996121
         -3.87461223         37.66898132
         -3.86961223         85.48429330
         -3.86461223          9.50992321
         -3.85961223          9.93056788
         -3.85461223         10.35121255
         -3.84961223         10.77185721
         -3.84461223         11.19250188
         -3.83961223         11.61314655
         -3.83461223         12.03379121
         -3.82961223         12.45443588
         -3.82461223         12.87508054
         -3.81961223         13.29572521
         -3.81461223         13.71636988
         -3.80961223         14.13701454
         -3.80461223         14.55765921
         -3.79961223         14.97830387
         -3.79461223         15.39894854
         -3.78961223         15.81959321
         -3.78461223         16.24023787
         -3.77961223         16.66088254
         -3.77461223         17.08152721
         -3.76961223         17.50217187
         -3.76461223         17.92281654
         -3.75961223         18.34346120
         -3.75461223         18.76410587
         -3.74961223         19.18475054
         -3.74461223         19.60539520
         -3.73961223         42.61165391
         -3.73461223         59.89399790
         -3.72961223         36.00413903
         -3.72461223         61.94689572
         -3.71961223         41.44815014
         -3.71461223         10.18523848
         -3.70961223          8.93098722
         -3.70461223          7.67673595
         -3.69961223         35.67729780
         -3.69461223         66.83475531
         -3.68961223         51.82933241
         -3.68461223        124.29579883
         -3.67961223         47.90538118
         -3.67461223         41.28525645
         -3.66961223         57.89678030
         -3.66461223         65.11977117
         -3.65961223          9.21563398
         -3.65461223          9.25769998
         -3.64961223          9.29976597
         -3.64461223          9.34183197
         -3.63961223          9.38389797
         -3.63461223         64.62216770
         -3.62961223        120.94100107
         -3.62461223         32.10500519
         -3.61961223         34.05178085
         -3.61461223         35.99855651
         -3.60961223         37.94533217
         -3.60461223         39.89210783
         -3.59961223         41.83888349
         -3.59461223         31.29644322
         -3.58961223         30.81578086
         -3.58461223         72.59377314
         -3.57961223         35.27154903
         -3.57461223         36.06045348
         -3.56961223         37.54171913
         -3.56461223         39.02298477
         -3.55961223         40.50425041
         -3.55461223         41.98551605
         -3.54961223         43.46678169
         -3.54461223         44.94804733
         -3.53961223         46.42931297
         -3.53461223         50.79056998
         -3.52961223         32.49118166
         -3.52461223         19.81276392
         -3.51961223         20.18913626
         -3.51461223         20.56550861
         -3.50961223         20.94188095
         -3.50461223         21.31825330
         -3.49961223         31.46433076
         -3.49461223         53.92834662
         -3.48961223         57.93435099
         -3.48461223         16.88836734
         -3.47961223         17.43701709
         -3.47461223         17.98566684
         -3.46961223         24.24316697
         -3.46461223         25.53829052
         -3.45961223         77.89285061
         -3.45461223         35.15455211
         -3.44961223         37.94270282
         -3.44461223         40.73085354
         -3.43961223         43.51900425
